InfoPointType,InfoName,DataType,IOA,PointMapTsl,Common
遥测,ua1,M_ME_NC_1,16385,,(1通道)Ua
遥测,Ub1,M_ME_NC_1,16386,,(1通道)Ub
遥测,uc1,M_ME_NC_1,16387,,(1通道)Uc
遥测,uab1,M_ME_NC_1,16388,,(1通道)Uab
遥测,ubc1,M_ME_NC_1,16389,,(1通道)Ubc
遥测,uca1,M_ME_NC_1,16390,,(1通道)Uca
遥测,ia1,M_ME_NC_1,16391,,(1通道)Ia
遥测,ib1,M_ME_NC_1,16392,,(1通道)Ib
遥测,ic1,M_ME_NC_1,16393,,(1通道)Ic
遥测,p1,M_ME_NC_1,16394,,(1通道)P
遥测,q1,M_ME_NC_1,16395,,(1通道)Q
遥测,f1,M_ME_NC_1,16396,,(1通道)F
遥测,cos1,M_ME_NC_1,16397,,(1通道)cos
遥测,ua3,M_ME_NC_1,16411,,(3通道)Ua
遥测,ub3,M_ME_NC_1,16412,,(3通道)Ub
遥测,uc3,M_ME_NC_1,16413,,(3通道)Uc
遥测,uab3,M_ME_NC_1,16414,,(3通道)Uab
遥测,ubc3,M_ME_NC_1,16415,,(3通道)Ubc
遥测,uca3,M_ME_NC_1,16416,,(3通道)Uca
遥测,ia3,M_ME_NC_1,16417,,(3通道)Ia
遥测,ib3,M_ME_NC_1,16418,,(3通道)Ib
遥测,ic3,M_ME_NC_1,16419,,(3通道)Ic
遥测,p3,M_ME_NC_1,16420,,(3通道)P
遥测,q3,M_ME_NC_1,16421,,(3通道)Q
遥测,f3,M_ME_NC_1,16422,,(3通道)F
遥测,cos3,M_ME_NC_1,16423,,(3通道)cos
遥测,ua4,M_ME_NC_1,16424,,(4通道)Ua
遥测,ub4,M_ME_NC_1,16425,,(4通道)Ub
遥测,uc4,M_ME_NC_1,16426,,(4通道)Uc
遥测,uab4,M_ME_NC_1,16427,,(4通道)Uab
遥测,ubc4,M_ME_NC_1,16428,,(4通道)Ubc
遥测,uca4,M_ME_NC_1,16429,,(4通道)Uca）
遥测,ia4,M_ME_NC_1,16430,,(4通道)Ia
遥测,ib4,M_ME_NC_1,16431,,(4通道)Ib
遥测,ic4,M_ME_NC_1,16432,,(4通道)Ic
遥测,p4,M_ME_NC_1,16433,,(4通道)P
遥测,q4,M_ME_NC_1,16434,,(4通道)Q
遥测,f4,M_ME_NC_1,16435,,(4通道)F
遥测,cos4,M_ME_NC_1,16436,,(4通道)cos
遥测,aGCTotalActivePowerCommandFeedback,M_ME_NC_1,16437,,AGC总有功指令反馈
遥测,aVCTotalReactivePowerCommandFeedback,M_ME_NC_1,16438,,AVC总无功指令反馈
遥测,pcs1ActivePowerCommandFeedback,M_ME_NC_1,16439,,PCS1_有功指令反馈
遥测,pcs1ReactivePowerCommandFeedback,M_ME_NC_1,16440,,PCS1_无功指令反馈
遥测,pcs2ActivePowerCommandFeedback,M_ME_NC_1,16441,,PCS2_有功指令反馈
遥测,pcs2ReactivePowerCommandFeedback,M_ME_NC_1,16442,,PCS2_无功指令反馈
遥测,pcs3ActivePowerCommandFeedback,M_ME_NC_1,16443,,PCS3_有功指令反馈
遥测,pcs3ReactivePowerCommandFeedback,M_ME_NC_1,16444,,PCS3_无功指令反馈
遥测,pcs4ActivePowerCommandFeedback,M_ME_NC_1,16445,,PCS4_有功指令反馈
遥测,pcs4ReactivePowerCommandFeedback,M_ME_NC_1,16446,,PCS4_无功指令反馈
遥测,pcs5ActivePowerCommandFeedback,M_ME_NC_1,16447,,PCS5_有功指令反馈
遥测,pcs5ReactivePowerCommandFeedback,M_ME_NC_1,16448,,PCS5_无功指令反馈
遥测,pcs6ActivePowerCommandFeedback,M_ME_NC_1,16449,,PCS6_有功指令反馈
遥测,pcs6ReactivePowerCommandFeedback,M_ME_NC_1,16450,,PCS6_无功指令反馈
遥测,pcs7ActivePowerCommandFeedback,M_ME_NC_1,16451,,PCS7_有功指令反馈
遥测,pcs7ReactivePowerCommandFeedback,M_ME_NC_1,16452,,PCS7_无功指令反馈
遥测,pcs8ActivePowerCommandFeedback,M_ME_NC_1,16453,,PCS8_有功指令反馈
遥测,pcs8ReactivePowerCommandFeedback,M_ME_NC_1,16454,,PCS8_无功指令反馈
遥测,pcs9ActivePowerCommandFeedback,M_ME_NC_1,16455,,PCS9_有功指令反馈
遥测,pcs9ReactivePowerCommandFeedback,M_ME_NC_1,16456,,PCS9_无功指令反馈
遥测,pcs10ActivePowerCommandFeedback,M_ME_NC_1,16457,,PCS10_有功指令反馈
遥测,pcs10ReactivePowerCommandFeedback,M_ME_NC_1,16458,,PCS10_无功指令反馈
遥测,pcs11ActivePowerCommandFeedback,M_ME_NC_1,16459,,PCS11_有功指令反馈
遥测,pcs11ReactivePowerCommandFeedback,M_ME_NC_1,16460,,PCS11_无功指令反馈
遥测,pcs12ActivePowerCommandFeedback,M_ME_NC_1,16461,,PCS12_有功指令反馈
遥测,pcs12ReactivePowerCommandFeedback,M_ME_NC_1,16462,,PCS12_无功指令反馈
遥测,pcs13ActivePowerCommandFeedback,M_ME_NC_1,16463,,PCS13_有功指令反馈
遥测,pcs13ReactivePowerCommandFeedback,M_ME_NC_1,16464,,PCS13_无功指令反馈
遥测,pcs14ActivePowerCommandFeedback,M_ME_NC_1,16465,,PCS14_有功指令反馈
遥测,pcs14ReactivePowerCommandFeedback,M_ME_NC_1,16466,,PCS14_无功指令反馈
遥测,pcs15ActivePowerCommandFeedback,M_ME_NC_1,16467,,PCS15_有功指令反馈
遥测,pcs15ReactivePowerCommandFeedback,M_ME_NC_1,16468,,PCS15_无功指令反馈
遥测,pcs16ActivePowerCommandFeedback,M_ME_NC_1,16469,,PCS16_有功指令反馈
遥测,pcs16ReactivePowerCommandFeedback,M_ME_NC_1,16470,,PCS16_无功指令反馈
遥测,pcs17ActivePowerCommandFeedback,M_ME_NC_1,16471,,PCS17_有功指令反馈
遥测,pcs17ReactivePowerCommandFeedback,M_ME_NC_1,16472,,PCS17_无功指令反馈
遥测,pcs18ActivePowerCommandFeedback,M_ME_NC_1,16473,,PCS18_有功指令反馈
遥测,pcs18ReactivePowerCommandFeedback,M_ME_NC_1,16474,,PCS18_无功指令反馈
遥测,pcs19ActivePowerCommandFeedback,M_ME_NC_1,16475,,PCS19_有功指令反馈
遥测,pcs19ReactivePowerCommandFeedback,M_ME_NC_1,16476,,PCS19_无功指令反馈
遥测,pcs20ActivePowerCommandFeedback,M_ME_NC_1,16477,,PCS20_有功指令反馈
遥测,pcs20ReactivePowerCommandFeedback,M_ME_NC_1,16478,,PCS20_无功指令反馈
遥测,pcs21ActivePowerCommandFeedback,M_ME_NC_1,16479,,PCS21_有功指令反馈
遥测,pcs21ReactivePowerCommandFeedback,M_ME_NC_1,16480,,PCS21_无功指令反馈
遥测,pcs22ActivePowerCommandFeedback,M_ME_NC_1,16481,,PCS22_有功指令反馈
遥测,pcs22ReactivePowerCommandFeedback,M_ME_NC_1,16482,,PCS22_无功指令反馈
遥测,pcs23ActivePowerCommandFeedback,M_ME_NC_1,16483,,PCS23_有功指令反馈
遥测,pcs23ReactivePowerCommandFeedback,M_ME_NC_1,16484,,PCS23_无功指令反馈
遥测,pcs24ActivePowerCommandFeedback,M_ME_NC_1,16485,,PCS24_有功指令反馈
遥测,pcs24ReactivePowerCommandFeedback,M_ME_NC_1,16486,,PCS24_无功指令反馈
遥测,pcs25ActivePowerCommandFeedback,M_ME_NC_1,16487,,PCS25_有功指令反馈
遥测,pcs25ReactivePowerCommandFeedback,M_ME_NC_1,16488,,PCS25_无功指令反馈
遥测,pcs26ActivePowerCommandFeedback,M_ME_NC_1,16489,,PCS26_有功指令反馈
