InfoPointType,InfoName,DataType,IOA,PointMapTsl,Common
遥测,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,线电压AB
遥测,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,线电压BC
遥测,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,线电压CA
遥测,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,A相电流
遥测,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,B相电流
遥测,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,C相电流
遥测,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,有功功率
遥测,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,无功功率
遥测,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,功率因数
遥测,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,总充电量
遥测,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,电池电压
遥测,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,电池电流
遥测,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,电池功率
遥测,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,当前可用容量
遥测,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,环境温度
遥测,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,日充电量
遥测,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,日放电量
遥信,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,电网欠压
遥信,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,电网过压
遥信,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,电网欠频
遥信,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,电网过频
遥信,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,电网电压不平衡
遥信,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,电网电流不平衡
遥信,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,低电压穿越
遥信,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,电网反序
遥信,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,电网缺相
遥信,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,电网电压异常
遥信,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,频率异常
遥信,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,防孤岛
遥信,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,交流侧电流异常
遥信,agcRemote,C_DC_TA_1,1,PCS1.agcEnableDisable,锁相不同步
遥测,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,线电压AB
遥测,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,线电压BC
遥测,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,线电压CA
遥测,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,A相电流
遥测,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,B相电流
遥测,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,C相电流
遥测,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,有功功率
遥测,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,无功功率
遥测,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,功率因数
遥测,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,总充电量
遥测,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,电池电压
遥测,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,电池电流
遥测,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,电池功率
遥测,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,当前可用容量
遥测,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,环境温度
遥测,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,日充电量
遥测,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,日放电量
遥信,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,电网欠压
遥信,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,电网过压
遥信,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,电网欠频
遥信,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,电网过频
遥信,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,电网电压不平衡
遥信,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,电网电流不平衡
遥信,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,低电压穿越
遥信,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,电网反序
遥信,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,电网缺相
遥信,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,电网电压异常
遥信,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,频率异常
遥信,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,防孤岛
遥信,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,交流侧电流异常
遥信,agcRemote,C_DC_TA_1,1,PCS2.agcEnableDisable,锁相不同步
遥测,agcRemote,C_DC_TA_1,1,BMS1.agcEnableDisable,空调-容霜温度
遥测,agcRemote,C_DC_TA_1,1,BMS1.agcEnableDisable,空调-冷凝温度
遥测,agcRemote,C_DC_TA_1,1,BMS1.agcEnableDisable,消防-外接探测器
遥测,agcRemote,C_DC_TA_1,1,BMS1.agcEnableDisable,消防-灭火系统设备反馈
遥测,agcRemote,C_DC_TA_1,1,BMS1.agcEnableDisable,液冷-供液温度
