FunctionCode,Address,Size,Index,ParamName,Type,Min,Max,Expression,ReExpression,Unit,Comments,DefaultValue,DataOrder,SampleRate
3,2,16,0,avgSoc,System.Int16,,,,Param*100,,电池仓平均SOC,,,1
3,3,16,0,maxSoc,System.Int16,,,,Param*100,,电池仓最高SOC,,,1
3,4,16,0,socMaxIndex,System.Int16,,,,,,电池仓最高SOCBMS编号,,,1
3,5,16,0,minSoc,System.Int16,,,,Param*100,,电池仓最低SOC,,,1
3,6,16,0,socMinIndex,System.Int16,,,,,,电池仓最低SOCBMS编号,,,1
3,7,16,0,masterHeart,System.Int16,,,,,,主机心跳，主机检测到为0，连接正常并至1，从机检测到1，将其至0,,,1
3,8,16,0,tPower,System.Int16,,,,,,从机总功率,,,1
3,9,16,0,isDeviceUpdate,System.Int16,,,,,,设备更新标志位,0,,1
3,100,16,0,EMU01Enable,System.UInt16,,,,,,EMU01是否启用0=》不启用；1=》启用；,0,,1
3,101,16,0,EMU01Bat1ConnectInfo,System.UInt16,,,,,,EMU01电池仓1连接信息0=》未连接；1=》A网连接；2=》B网连接；3=》AB网都连接,0,,1
3,102,16,0,EMU01Bat2ConnectInfo,System.UInt16,,,,,,EMU01电池仓2连接信息0=》未连接；1=》A网连接；2=》B网连接；3=》AB网都连接,0,,1
3,103,16,0,EMU01ConConnectInfo,System.UInt16,,,,,,EMU01控制仓连接信息0=》未连接；1=》A网连接；2=》B网连接；3=》AB网都连接,0,,1
3,104,16,0,EMU01Bat1Fault,System.UInt16,,,,,,EMU01BMS1告警等级；0=》无故障；1=》1级告警；2=》2级告警；3=》3级告警,0,,1
3,105,16,0,EMU01Bat2Fault,System.UInt16,,,,,,EMU01BMS2告警等级；0=》无故障；1=》1级告警；2=》2级告警；3=》3级告警,0,,1
3,106,16,0,EMU01PCS1Fault,System.UInt16,,,,,,EMU01PCS1告警等级；0=》无故障；1=》1级告警；2=》2级告警；3=》3级告警,0,,1
3,107,16,0,EMU01PCS2Fault,System.UInt16,,,,,,EMU01PCS2告警等级；0=》无故障；1=》1级告警；2=》2级告警；3=》3级告警,0,,1
3,108,16,0,EMU02Enable,System.UInt16,,,,,,EMU02是否启用0=》不启用；1=》启用；,0,,1
3,109,16,0,EMU02Bat1ConnectInfo,System.UInt16,,,,,,EMU02电池仓1连接信息0=》未连接；1=》A网连接；2=》B网连接；3=》AB网都连接,0,,1
3,110,16,0,EMU02Bat2ConnectInfo,System.UInt16,,,,,,EMU02电池仓2连接信息0=》未连接；1=》A网连接；2=》B网连接；3=》AB网都连接,0,,1
3,111,16,0,EMU02ConConnectInfo,System.UInt16,,,,,,EMU02控制仓连接信息0=》未连接；1=》A网连接；2=》B网连接；3=》AB网都连接,0,,1
3,112,16,0,EMU02Bat1Fault,System.UInt16,,,,,,EMU02BMS1告警等级；0=》无故障；1=》1级告警；2=》2级告警；3=》3级告警,0,,1
3,113,16,0,EMU02Bat2Fault,System.UInt16,,,,,,EMU02BMS2告警等级；0=》无故障；1=》1级告警；2=》2级告警；3=》3级告警,0,,1
3,114,16,0,EMU02PCS1Fault,System.UInt16,,,,,,EMU02PCS1告警等级；0=》无故障；1=》1级告警；2=》2级告警；3=》3级告警,0,,1
3,115,16,0,EMU02PCS2Fault,System.UInt16,,,,,,EMU02PCS2告警等级；0=》无故障；1=》1级告警；2=》2级告警；3=》3级告警,0,,1
3,116,16,0,EMU03Enable,System.UInt16,,,,,,EMU03是否启用0=》不启用；1=》启用；,0,,1
3,117,16,0,EMU03Bat1ConnectInfo,System.UInt16,,,,,,EMU03电池仓1连接信息0=》未连接；1=》A网连接；2=》B网连接；3=》AB网都连接,0,,1
