FunctionCode,Address,Size,Index,ParamName,Type,Min,Max,Expression,ReExpression,Unit,Comments,DefaultValue,DataOrder,SampleRate
2,1,1,0,overArrayVolAlarmLv1,System.Boolean,,,,,,组端过压 1 级报警,,,1
2,2,1,0,overArrayVolAlarmLv2,System.Boolean,,,,,,组端过压 2级报警,,,1
2,3,1,0,overArrayVolAlarmLv3,System.Boolean,,,,,,组端过压 3 级报警,,,1
2,4,1,0,belowArrayVolAlarmLv1,System.Boolean,,,,,,组端欠压1级告警,,,1
2,5,1,0,belowArrayVolAlarmLv2,System.Boolean,,,,,,组端欠压2级告警,,,1
2,6,1,0,belowArrayVolAlarmLv3,System.Boolean,,,,,,组端欠压3级告警,,,1
2,7,1,0,overArrayCurDiscAlarmLv1,System.Boolean,,,,,,组端放电过流 1 级报警,,,1
2,8,1,0,overArrayCurDiscAlarmLv2,System.Boolean,,,,,,组端放电过流 2 级报警,,,1
2,9,1,0,overArrayCurDiscAlarmLv3,System.Boolean,,,,,,组端放电过流 3级报警,,,1
2,10,1,0,overArrayCurCharAlarmLv1,System.Boolean,,,,,,组端充电过流 1 级报警,,,1
2,11,1,0,overArrayCurCharAlarmLv2,System.Boolean,,,,,,组端充电过流 2 级报警,,,1
2,12,1,0,overArrayCurCharAlarmLv3,System.Boolean,,,,,,组端充电过流 2 级报警,,,1
2,13,1,0,isoArrayAlarmLv1,System.Boolean,,,,,,组端绝缘 1 级报警,,,1
2,14,1,0,isoArrayAlarmLv2,System.Boolean,,,,,,组端绝缘 2 级报警,,,1
2,15,1,0,isoArrayAlarmLv3,System.Boolean,,,,,,组端绝缘 3 级报警,,,1
2,16,1,0,overSingleTempCharAlarmLv1,System.Boolean,,,,,,单体电池充电过温 1 级报警,,,1
2,17,1,0,overSingleTempCharAlarmLv2,System.Boolean,,,,,,单体电池充电过温 2 级报警,,,1
2,18,1,0,overSingleTempCharAlarmLv3,System.Boolean,,,,,,单体电池充电过温 3 级报警,,,1
2,19,1,0,belowSingleTempCharAlarmLv1,System.Boolean,,,,,,单体电池充电欠温 1 级报警,,,1
2,20,1,0,belowSingleTempCharAlarmLv2,System.Boolean,,,,,,单体电池充电欠温 2 级报警,,,1
2,21,1,0,belowSingleTempCharAlarmLv3,System.Boolean,,,,,,单体电池充电欠温 3 级报警,,,1
2,22,1,0,overSingleVolAlarmLv1,System.Boolean,,,,,,单体电压过压 1 级报警,,,1
