FunctionCode,Address,Size,Index,ParamName,Type,Min,Max,Expression,ReExpression,Unit,Comments,DefaultValue,DataOrder,SampleRate
1,35,1,0,humidityControlLoopStatus,System.Boolean,,,,,,控湿回路状态 0:停止 1:开启,,,
1,36,1,0,tempControlLoopStatus,System.Boolean,,,,,,控温回路状态 0:停止 1:开启,,,
1,37,1,0,tempControlMode,System.Boolean,,,,,,控温方式 0:降温 1:升温,,,
1,38,1,0,fanLoopFault,System.Boolean,,,,,,风机模块回路状态  0:正常 1:故障,,,
1,39,1,0,humidityLoopFault,System.Boolean,,,,,,除湿模块回路状态  0:正常 1:故障,,,
1,40,1,0,humidityTransFault,System.Boolean,,,,,,湿度传感器状态  0:正常 1:故障,,,
1,41,1,0,outerTempTransFault,System.Boolean,,,,,,外部温度传感器状态  0:正常 1:故障,,,
1,42,1,0,innerTempTransFault,System.Boolean,,,,,,内部温度传感器状态  0:正常 1:故障,,,
1,43,1,0,defrostStatus,System.Boolean,,,,,,化霜状态  0:正常 1:正在化霜,,,
1,44,1,0,manualHumidityControlStatus,System.Boolean,,,,,,控湿手动开关  0:正常 1:手动开,,,
1,45,1,0,manualTempControlStatus,System.Boolean,,,,,,控温手动开关  0:正常 1:手动开,,,
1,46,1,0,highTempAlarm,System.Boolean,,,,,, 高温告警 0:正常 1:告警,,,
3,0,16,0,innerTemp,System.Int16,,,Param/10,,℃,内部温度,,,
3,1,16,0,envTemp,System.Int16,,,Param/10,,℃,环境温度,,,
3,2,16,0,envHumidity,System.UInt16,,,Param/10,,%RH,环境湿度,,,
3,8,16,0,tempControlStartThrehold,System.UInt16,1,85,Param/10,,℃,控温开启值,,,
3,9,16,0,tempControlStopThrehold,System.UInt16,1,85,Param/10,,℃,控温停止值,,,
3,10,16,0,humidityControlStartThrehold,System.UInt16,25,98,Param/10,,%RH,控湿开启值,,,
3,11,16,0,humidityControlStopThrehold,System.UInt16,25,98,Param/10,,%RH,控湿停止值,,,
3,12,16,0,tempWarningUpperThrehold,System.UInt16,60,95,Param/10,,℃,温度报警阈值上限,,,
3,13,16,0,tempWarningLowerThrehold,System.UInt16,1,50,Param/10,,℃,温度报警阈值下限,,,
