FunctionCode,Address,Size,Index,ParamName,Type,Min,Max,Expression,ReExpression,Unit,Comments,DefaultValue,DataOrder,SampleRate
3,4096,16,0,startupMode,System.Int16,0,1,,,,启动模式 0:手动 1:自动,,,
3,4097,16,0,workMode,System.Int16,0,4,,,,工作模式 0:待机 1:制冷 2:制热 3:自循环 4:自动,,,
3,4098,16,0,waterControlObj,System.Int16,0,1,,,,供回水控制目标,,,
3,4099,16,0,coolPresetTemp,System.Int16,0,90,,,,制冷预设温度,,,
3,4100,16,0,coolReturnDiff,System.Int16,0,9,,,,制冷回差,,,
3,4101,16,0,heatPresetTemp,System.Int16,0,99,,,,制热预设温度,,,
3,4102,16,0,heatReturnDiff,System.Int16,0,9,,,,制热回差,,,
3,4103,16,0,tempControlPumpSpeed,System.Int16,55,100,,,,控温时泵转速,,,
3,4104,16,0,autoCyclePumpSpeed,System.Int16,55,100,,,,自循环泵转速,,,
3,4105,16,0,liquidTempHighPoint,System.Int16,0,65,,,,液温过高点,,,
3,4106,16,0,liquidTempLowPoint,System.Int16,-40,30,,,,液温过低点,,,
3,4107,16,0,returnWaterPressureLowPoint,System.Int16,0,2,,,,回水压力过低点,,,
3,4108,16,0,supplyWaterPressureHighPoint,System.Int16,0,20,,,,供水压力过高点,,,
3,4109,16,0,supplyWaterPressureWarningPoint,System.Int16,0,20,,,,供水压力预警点,,,
3,4110,16,0,supplyWaterPressureWarningDiff,System.Int16,-9,9,,,,供水压力预警回差,,,
3,4111,16,0,communicationAddress,System.Int16,0,128,,,,485 通讯地址,,,
3,4112,16,0,baudRate,System.Int16,0,2,,,,波特率,,,
3,0,8,0,unitOperationStatus,System.UInt16,,,,,,机组运行状态,,,
3,0,8,8,unitOperationMode,System.UInt16,,,,,,机组运行模式,,,
3,1,1,0,systemHighPressureSwitchInput,System.UInt16,,,,,,系统高压开关量输入,,,
3,1,1,9,heaterOverloadSwitchInput,System.UInt16,,,,,,加热管过载开关量输入,,,
3,1,1,2,systemLowPressureSwitchInput,System.UInt16,,,,,,系统低压开关量输入,,,
3,1,1,10,fanOverloadSwitchInput,System.UInt16,,,,,,风机过载开关量输入,,,
3,1,1,5,liquidLevelSwitchInput,System.UInt16,,,,,,液位开关开关量输入,,,
3,1,1,6,waterPumpOverloadSwitchInput,System.UInt16,,,,,,供水泵过载开关量输入,,,
3,2,1,3,fanRelayOutput,System.UInt16,,,,,,风机继电器输出,,,
3,2,1,5,heaterRelayOutput,System.UInt16,,,,,,加热管继电器输出,,,
3,2,1,6,warningRelayOutput,System.UInt16,,,,,,报警继电器输出,,,
3,2,1,7,heatingTapeRelayOutput,System.UInt16,,,,,,加热带继电器输出,,,
3,3,16,0,supplyLiquidTemp,System.Int16,,,0.1*Param,,℃,供液温度,,,
3,4,16,0,returnLiquidTemp,System.Int16,,,0.1*Param,,℃,回液温度,,,
3,5,16,0,systemEvaporating,System.Int16,,,0.1*Param,,℃,系统蒸进,,,
3,7,16,0,evaporatingOutTemp,System.Int16,,,0.1*Param,,℃,蒸出温度,,,
3,8,16,0,envTemp,System.Int16,,,0.1*Param,,℃,环境温度,,,
3,9,16,0,systemCondensing,System.Int16,,,0.1*Param,,℃,系统冷凝,,,
3,10,16,0,expansionValveCurrentOpening,System.UInt16,,,,,步,节流电膨当前开度,,,
3,11,16,0,waterPumpCurrentSpeed,System.UInt16,,,,,%,水泵当前转速,,,
3,12,16,0,compressorCurrentSpeed,System.UInt16,,,,,RPS,压缩机当前转速,,,
3,13,16,0,fanCurrentSpeed,System.UInt16,,,,,RPS,风机转速,,,
3,18,16,0,supplyWaterPressure,System.UInt16,,,0.1*Param,,bar,供水压力,,,
3,19,16,0,returnWaterPressure,System.UInt16,,,0.1*Param,,bar,回水压力,,,
3,20,16,0,exhaustPressure,System.UInt16,,,0.1*Param,,bar,排气压力,,,
3,25,1,0,waterPumpFault,System.UInt16,,,,,,供水泵故障,,,
3,25,1,1,pumpEmptyRunningProtectionFault,System.UInt16,,,,,,泵空转保护故障,,,
3,25,1,2,pumpBlockageProtectionFault,System.UInt16,,,,,,泵堵转保护故障,,,
3,25,1,3,pumpOverCurrentFault,System.UInt16,,,,,,泵过流故障,,,
3,25,1,4,pumpUnderPressureFault,System.UInt16,,,,,,泵欠压故障,,,
3,25,1,5,pumpOverPressureFault,System.UInt16,,,,,,泵过压故障,,,
3,25,1,6,pumpPhaseFailureCurrentSamplingOffsetLostStepPrechargeFault,System.UInt16,,,,,,泵缺相/电流采样偏移/失步/预充故障,,,
3,25,1,7,pumpDriveOverheatProtectionFault,System.UInt16,,,,,,泵驱动过热保护故障,,,
3,25,1,8,supplyWaterPressureSensorFault,System.UInt16,,,,,,供水压力传感器故障,,,
3,25,1,9,mainBoardIICFault,System.UInt16,,,,,,主板 IIC 故障,,,
3,25,1,10,returnWaterPressureLowFault,System.UInt16,,,,,,回水压力低故障,,,
3,25,1,11,supplyWaterPressureOverHighFault,System.UInt16,,,,,,供水压力过高,,,
3,25,1,12,voltageOverHighFault,System.UInt16,,,,,,电压过高,,,
3,25,1,13,voltageUnderLowFault,System.UInt16,,,,,,电压过低,,,
