SN,MeasurePoint,Type,DataObjectReference,MMS_Type,DataSetIndex,Description,Unit,Comment,ModelSim
,yc0,FLOAT32,BMS001MEAS/MMXU1.yc0.mag.f,MX,BMS001MEAS/LLN0.dsAin01[0],堆1-总电压,,,model=4|arg1=batStack.TotalVoltage|arg2= |arg3= |arg4=1000
,yc1,FLOAT32,BMS001MEAS/MMXU1.yc1.mag.f,MX,BMS001MEAS/LLN0.dsAin01[1],堆1-电流,,,model=4|arg1=batStack.Current|arg2 = |arg3 = |arg4=1000
,yc2,FLOAT32,BMS001MEAS/MMXU1.yc2.mag.f,MX,BMS001MEAS/LLN0.dsAin01[2],堆1-功率,kWh,,model=4|arg1=batStack.Power|arg2 = |arg3 = |arg4=1000
,yc3,FLOAT32,BMS001MEAS/MMXU1.yc3.mag.f,MX,BMS001MEAS/LLN0.dsAin01[3],堆1-SOC,"%,范围(0-100)",,model=4|arg1=batStack.SOC|arg2 = |arg3 = |arg4=1000
,yc4,FLOAT32,BMS001MEAS/MMXU1.yc4.mag.f,MX,BMS001MEAS/LLN0.dsAin01[4],堆1-SOH,"%,范围(0-100)",,model=4|arg1=batStack.SOH|arg2 = |arg3 = |arg4=1000
,yc5,FLOAT32,BMS001MEAS/MMXU1.yc5.mag.f,MX,BMS001MEAS/LLN0.dsAin01[5],堆1-绝缘+,kΩ,,model=4|arg1=batStack.InsulationPlus|arg2 = |arg3 = |arg4=1000
,yc6,FLOAT32,BMS001MEAS/MMXU1.yc6.mag.f,MX,BMS001MEAS/LLN0.dsAin01[6],堆1-绝缘-,kΩ,,model=4|arg1=batStack.InsulationMinus|arg2 = |arg3 = |arg4=1000
,yc7,FLOAT32,BMS001MEAS/MMXU1.yc7.mag.f,MX,BMS001MEAS/LLN0.dsAin01[7],堆1-运行状态,"0-停机,1-运行充电,2-运行放电,3-待机,4-故障",,model=4|arg1=batStack.OperationStatus|arg2 = |arg3 = |arg4=1000
,yc8,FLOAT32,BMS001MEAS/MMXU1.yc8.mag.f,MX,BMS001MEAS/LLN0.dsAin01[8],堆1-预留,,,model=4|arg1=batStack.res1|arg2 = |arg3 = |arg4=1000
,yc9,FLOAT32,BMS001MEAS/MMXU1.yc9.mag.f,MX,BMS001MEAS/LLN0.dsAin01[9],堆1-预留,,,model=4|arg1=batStack.res2|arg2 = |arg3 = |arg4=1000
,yc10,FLOAT32,BMS001MEAS/MMXU1.yc10.mag.f,MX,BMS001MEAS/LLN0.dsAin01[10],堆1-预留,,,model=4|arg1=batStack.res3|arg2 = |arg3 = |arg4=1000
,yc11,FLOAT32,BMS001MEAS/MMXU1.yc11.mag.f,MX,BMS001MEAS/LLN0.dsAin01[11],堆1-预留,,,model=4|arg1=batStack.res4|arg2 = |arg3 = |arg4=1000
,yc12,FLOAT32,BMS001MEAS/MMXU1.yc12.mag.f,MX,BMS001MEAS/LLN0.dsAin01[12],堆1-预留,,,model=4|arg1=batStack.res5|arg2 = |arg3 = |arg4=1000
,yc13,FLOAT32,BMS001MEAS/MMXU1.yc13.mag.f,MX,BMS001MEAS/LLN0.dsAin01[13],堆1-堆内簇电压极差值,,,model=4|arg1=batStack.ClusterVoltageDiffAlarm|arg2 = |arg3 = |arg4=1000
,yc14,FLOAT32,BMS001MEAS/MMXU1.yc14.mag.f,MX,BMS001MEAS/LLN0.dsAin01[14],堆1-堆内最高单体电压,,,model=4|arg1=batStack.MaxCellVoltage|arg2 = |arg3 = |arg4=1000
