SN,MeasurePoint,Type,DataObjectReference,MMS_Type,DataSetIndex,Description,Unit,Comment,ModelSim,,
1,yc0,FLOAT32,SiNengEmuLD1/GGIO2.AnIn1.mag.f,MX,SiNengEmuLD1/LLN0.dsRemoteMeas[0],PCS#1-RS485-线电压AB,V,,model=4|arg1=emu.PcsList[0].LineVoltageAB|arg2= |arg3= |arg4=1000,model=1|arg1=2.3|arg2=3.6|arg3=0.01|arg4=1000,
2,yc1,FLOAT32,SiNengEmuLD1/GGIO2.AnIn2.mag.f,MX,SiNengEmuLD1/LLN0.dsRemoteMeas[1],PCS#1-RS485-线电压BC,V,,model=4|arg1=emu.PcsList[0].LineVoltageBC|arg2= |arg3= |arg4=1000,model=1|arg1=3.3|arg2=3.6|arg3=0.1|arg4=1000,循环随机增长
3,yc2,FLOAT32,SiNengEmuLD1/GGIO2.AnIn3.mag.f,MX,SiNengEmuLD1/LLN0.dsRemoteMeas[2],PCS#1-RS485-线电压CA,V,,model=4|arg1=emu.PcsList[0].LineVoltageCA|arg2= |arg3= |arg4=1000,model=2|arg1=3.3|arg2=3.6|arg3= |arg4=1000,在区间值内随机值
4,yc3,FLOAT32,SiNengEmuLD1/GGIO2.AnIn4.mag.f,MX,SiNengEmuLD1/LLN0.dsRemoteMeas[3],PCS#1-RS485-频率,Hz,,model=4|arg1=emu.PcsList[0].Frequency|arg2= |arg3= |arg4=1000,model=3|arg1= |arg2= |arg3= |arg4=1000,bool值交替变换
5,yc4,FLOAT32,SiNengEmuLD1/GGIO2.AnIn5.mag.f,MX,SiNengEmuLD1/LLN0.dsRemoteMeas[4],PCS#1-RS485-A相电流,A,,model=4|arg1=emu.PcsList[0].PhaseACurrent|arg2= |arg3= |arg4=1000,,
6,yc5,FLOAT32,SiNengEmuLD1/GGIO2.AnIn6.mag.f,MX,SiNengEmuLD1/LLN0.dsRemoteMeas[5],PCS#1-RS485-B相电流,A,,model=4|arg1=emu.PcsList[0].PhaseBCurrent|arg2= |arg3= |arg4=1000,,外部接口模式，arg1为变量类型，arg2为变量地址model=4|arg1=1|arg2=1000|arg3= |arg4=
7,yc6,FLOAT32,SiNengEmuLD1/GGIO2.AnIn7.mag.f,MX,SiNengEmuLD1/LLN0.dsRemoteMeas[6],PCS#1-RS485-C相电流,A,,model=4|arg1=emu.PcsList[0].PhaseCCurrent|arg2= |arg3= |arg4=1000,,
8,yc7,FLOAT32,SiNengEmuLD1/GGIO2.AnIn8.mag.f,MX,SiNengEmuLD1/LLN0.dsRemoteMeas[7],PCS#1-RS485-电池电压,Vdc,,model=4|arg1=emu.PcsList[0].BatteryVoltage|arg2= |arg3= |arg4=1000,,
9,yc8,FLOAT32,SiNengEmuLD1/GGIO2.AnIn9.mag.f,MX,SiNengEmuLD1/LLN0.dsRemoteMeas[8],PCS#1-RS485-电池电流,A,,model=4|arg1=emu.PcsList[0].BatteryCurrent|arg2= |arg3= |arg4=1000,,
10,yc9,FLOAT32,SiNengEmuLD1/GGIO2.AnIn10.mag.f,MX,SiNengEmuLD1/LLN0.dsRemoteMeas[9],PCS#1-RS485-电池功率,kW,,model=4|arg1=emu.PcsList[0].BatteryPower|arg2= |arg3= |arg4=1000,,
