SN,MeasurePoint,Type,DataObjectReference,MMS_Type,DataSetIndex,Description,Unit,Comment,ModelSim,
1,yc0,FLOAT32,CP01PIGO/GGIO501.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[0],,V,PCS1输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg2= |arg3= |arg4=1000,model=1|arg1=2.3|arg2=3.6|arg3=0.01|arg4=1000
2,yc1,FLOAT32,CP01PIGO/GGIO502.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[1],,,PCS2输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg2= |arg3= |arg4=1000,
3,yc2,FLOAT32,CP01PIGO/GGIO503.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[2],,,PCS3输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg3= |arg3= |arg4=1000,
4,yc3,FLOAT32,CP01PIGO/GGIO504.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[3],,,PCS4输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg4= |arg3= |arg4=1000,
5,yc4,FLOAT32,CP01PIGO/GGIO505.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[4],,,PCS5输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg5= |arg3= |arg4=1000,
6,yc5,FLOAT32,CP01PIGO/GGIO506.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[5],,,PCS6输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg6= |arg3= |arg4=1000,
7,yc6,FLOAT32,CP01PIGO/GGIO507.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[6],,,PCS7输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg7= |arg3= |arg4=1000,
8,yc7,FLOAT32,CP01PIGO/GGIO508.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[7],,,PCS8输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg8= |arg3= |arg4=1000,
9,yc8,FLOAT32,CP01PIGO/GGIO509.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[8],,,PCS9输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg9= |arg3= |arg4=1000,
10,yc9,FLOAT32,CP01PIGO/GGIO510.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[9],,,PCS10输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg10= |arg3= |arg4=1000,
11,yc10,FLOAT32,CP01PIGO/GGIO511.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[10],,,PCS11输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg11= |arg3= |arg4=1000,
12,yc11,FLOAT32,CP01PIGO/GGIO512.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[11],,,PCS12输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg12= |arg3= |arg4=1000,
13,yc12,FLOAT32,CP01PIGO/GGIO513.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[12],,,PCS13输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg13= |arg3= |arg4=1000,
14,yc13,FLOAT32,CP01PIGO/GGIO514.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[13],,,PCS14输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg14= |arg3= |arg4=1000,
15,yc14,FLOAT32,CP01PIGO/GGIO515.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[14],,,PCS15输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg15= |arg3= |arg4=1000,
16,yc15,FLOAT32,CP01PIGO/GGIO516.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[15],,,PCS16输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg16= |arg3= |arg4=1000,
17,yc16,FLOAT32,CP01PIGO/GGIO517.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[16],,,PCS17输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg17= |arg3= |arg4=1000,
18,yc17,FLOAT32,CP01PIGO/GGIO518.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[17],,,PCS18输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg18= |arg3= |arg4=1000,
19,yc18,FLOAT32,CP01PIGO/GGIO519.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[18],,,PCS19输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg19= |arg3= |arg4=1000,
20,yc19,FLOAT32,CP01PIGO/GGIO520.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[19],,,PCS20输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg20= |arg3= |arg4=1000,
21,yc20,FLOAT32,CP01PIGO/GGIO521.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[20],,,PCS21输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg21= |arg3= |arg4=1000,
22,yc21,FLOAT32,CP01PIGO/GGIO522.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[21],,,PCS22输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg22= |arg3= |arg4=1000,
23,yc22,FLOAT32,CP01PIGO/GGIO523.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[22],,,PCS23输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg23= |arg3= |arg4=1000,
24,yc23,FLOAT32,CP01PIGO/GGIO524.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[23],,,PCS24输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg24= |arg3= |arg4=1000,
25,yc24,FLOAT32,CP01PIGO/GGIO525.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[24],,,PCS25输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg25= |arg3= |arg4=1000,
26,yc25,FLOAT32,CP01PIGO/GGIO526.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[25],,,PCS26输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg26= |arg3= |arg4=1000,
27,yc26,FLOAT32,CP01PIGO/GGIO527.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[26],,,PCS27输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg27= |arg3= |arg4=1000,
28,yc27,FLOAT32,CP01PIGO/GGIO528.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[27],,,PCS28输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg28= |arg3= |arg4=1000,
29,yc28,FLOAT32,CP01PIGO/GGIO529.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[28],,,PCS29输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg29= |arg3= |arg4=1000,
30,yc29,FLOAT32,CP01PIGO/GGIO530.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[29],,,PCS30输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg30= |arg3= |arg4=1000,
31,yc30,FLOAT32,CP01PIGO/GGIO531.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[30],,,PCS31输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg31= |arg3= |arg4=1000,
32,yc31,FLOAT32,CP01PIGO/GGIO532.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[31],,,PCS32输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg32= |arg3= |arg4=1000,
33,yc32,FLOAT32,CP01PIGO/GGIO533.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[32],,,PCS33输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg33= |arg3= |arg4=1000,
34,yc33,FLOAT32,CP01PIGO/GGIO534.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[33],,,PCS34输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg34= |arg3= |arg4=1000,
35,yc34,FLOAT32,CP01PIGO/GGIO535.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[34],,,PCS35输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg35= |arg3= |arg4=1000,
36,yc35,FLOAT32,CP01PIGO/GGIO536.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[35],,,PCS36输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg36= |arg3= |arg4=1000,
37,yc36,FLOAT32,CP01PIGO/GGIO537.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[36],,,PCS37输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg37= |arg3= |arg4=1000,
38,yc37,FLOAT32,CP01PIGO/GGIO538.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[37],,,PCS38输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg38= |arg3= |arg4=1000,
39,yc38,FLOAT32,CP01PIGO/GGIO539.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[38],,,PCS39输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg39= |arg3= |arg4=1000,
40,yc39,FLOAT32,CP01PIGO/GGIO540.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[39],,,PCS40输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg40= |arg3= |arg4=1000,
41,yc40,FLOAT32,CP01PIGO/GGIO541.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[40],,,PCS41输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg41= |arg3= |arg4=1000,
42,yc41,FLOAT32,CP01PIGO/GGIO542.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[41],,,PCS42输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg42= |arg3= |arg4=1000,
43,yc42,FLOAT32,CP01PIGO/GGIO543.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[42],,,PCS43输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg43= |arg3= |arg4=1000,
44,yc43,FLOAT32,CP01PIGO/GGIO544.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[43],,,PCS44输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg44= |arg3= |arg4=1000,
45,yc44,FLOAT32,CP01PIGO/GGIO545.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[44],,,PCS45输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg45= |arg3= |arg4=1000,
46,yc45,FLOAT32,CP01PIGO/GGIO546.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[45],,,PCS46输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg46= |arg3= |arg4=1000,
47,yc46,FLOAT32,CP01PIGO/GGIO547.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[46],,,PCS47输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg47= |arg3= |arg4=1000,
48,yc47,FLOAT32,CP01PIGO/GGIO548.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[47],,,PCS48输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg48= |arg3= |arg4=1000,
49,yc48,FLOAT32,CP01PIGO/GGIO549.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[48],,,PCS49输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg49= |arg3= |arg4=1000,
50,yc49,FLOAT32,CP01PIGO/GGIO550.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[49],,,PCS50输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg50= |arg3= |arg4=1000,
51,yc50,FLOAT32,CP01PIGO/GGIO551.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[50],,,PCS51输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg51= |arg3= |arg4=1000,
52,yc51,FLOAT32,CP01PIGO/GGIO552.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[51],,,PCS52输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg52= |arg3= |arg4=1000,
53,yc52,FLOAT32,CP01PIGO/GGIO553.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[52],,,PCS53输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg53= |arg3= |arg4=1000,
54,yc53,FLOAT32,CP01PIGO/GGIO554.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[53],,,PCS54输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg54= |arg3= |arg4=1000,
55,yc54,FLOAT32,CP01PIGO/GGIO555.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[54],,,PCS55输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg55= |arg3= |arg4=1000,
56,yc55,FLOAT32,CP01PIGO/GGIO556.AnOut02.mag.f,MX,CP01PIGO/LLN0.dsGOOSE1[55],,,PCS56输出有功功率,model=4|arg1=emu.PcsList[0].ActivePower|arg56= |arg3= |arg4=1000,
