FunctionCode,Address,Size,Index,ParamName,Type,Min,Max,Expression,ReExpression,Unit,Comments,DefaultValue,DataOrder,SampleRate
3,97,16,0,aPhaseVolt,System.Int16,,,Param*0.1,,V,A 相电压,,,
3,98,16,0,bPhaseVolt,System.Int16,,,Param*0.1,,V,B相电压,,,
3,99,16,0,cPhaseVolt,System.Int16,,,Param*0.1,,V,C相电压,,,
3,100,16,0,aPhaseCurr,System.Int16,,,Param*0.01*50,,A,A相电流,,,
3,101,16,0,bPhaseCurr,System.Int16,,,Param*0.01*50,,A,B相电流,,,
3,102,16,0,cPhaseCurr,System.Int16,,,Param*0.01*50,,A,C相电流,,,
3,103,16,0,aPhaseActivePower,System.Int16,,,Param*0.001*50,,kW,A相有功功率,,,
3,104,16,0,bPhaseActivePower,System.Int16,,,Param*0.001*50,,kW,B相有功功率,,,
3,105,16,0,cPhaseActivePower,System.Int16,,,Param*0.001*50,,kW,C相有功功率,,,
3,106,16,0,totalActivePower,System.Int16,,,Param*0.001*50,,kW,总有功功率,,,
3,107,16,0,aPhaseReactivePower,System.Int16,,,Param*0.001*50,,kVar,A相无功功率,,,
3,108,16,0,bPhaseReactivePower,System.Int16,,,Param*0.001*50,,kVar,B相无功功率,,,
3,109,16,0,cPhaseReactivePower,System.Int16,,,Param*0.001*50,,kVar,C相无功功率,,,
3,110,16,0,totalReactivePower,System.Int16,,,Param*0.001*50,,kVar,总无功功率,,,
3,111,16,0,aPhaseApparentPower,System.Int16,,,Param*0.001*50,,kVA,A相视在功率,,,
3,112,16,0,bPhaseApparentPower,System.Int16,,,Param*0.001*50,,kVA,B相视在功率,,,
3,113,16,0,cPhaseApparentPower,System.Int16,,,Param*0.001*50,,kVA,C相视在功率,,,
3,114,16,0,totalApparentPower,System.Int16,,,Param*0.001*50,,kVA,总视在功率,,,
3,115,16,0,aPhasePowerFactor,System.Int16,,,Param*0.001,,,A相功率因数,,,
3,116,16,0,bPhasePowerFactor,System.Int16,,,Param*0.001,,,B相功率因数,,,
3,117,16,0,cPhasePowerFactor,System.Int16,,,Param*0.001,,,C相功率因数,,,
3,118,16,0,totalPowerFactor,System.Int16,,,Param*0.001,,,总功率因数,,,
3,119,16,0,frequency,System.Int16,,,Param*0.01,,,频率,,,
3,141,16,0,voltTransforRatio,System.Int16,,,,,,电压变比PT,,,
3,142,16,0,currTransforRatio,System.Int16,,,,,,电流变比CT,50,,
3,145,16,0,operatingState,System.Int16,,,,,,运行状态,,,
3,10,32,0,activeEnergyPositive,System.Int32,,,Param*0.01*50,,kWh,当前正向总有功电能,,,
3,20,32,0,activeEnergyReverse,System.Int32,,,Param*0.01*50,,kWh,当前反向总有功电能,,,
