FunctionCode,Address,Size,Index,ParamName,Type,Min,Max,Expression,ReExpression,Unit,Comments,DefaultValue,DataOrder,SampleRate
3,4000,16,0,controllerExtinguisherStatus,System.UInt16,,,,,,灭火器状态 ,,,
3,4001,16,0,controllerMaxWarningLevel,System.UInt16,,,,,,最高报警等级,,,
3,4002,16,0,controllerFireAlertsButtonStatus,System.UInt16,,,,,,火灾报警按钮状态,,,
3,4010,16,0,controllerX15Status,System.UInt16,,,,,,X15状态 00:释放 01:按下,,,
3,4011,16,0,controllerX16Status,System.UInt16,,,,,,X16状态 00:释放 01:按下,,,
3,4012,16,0,controllerStartStatusSengByCAN,System.UInt16,,,,,,CAN发过来的启动状态 00:释放 01:按下,,,
3,4013,16,0,controllerStopStatusSengByCAN,System.UInt16,,,,,,CAN发过来的停止状态 00:释放 01:按下,,,
3,4020,16,0,detectorCode,System.UInt16,,,,,,探测器编码,,,
3,4021,16,0,detectorOnlineStatus,System.UInt16,,,,,,探测器在线状态 0x00 正常 0x01 掉线,,,
3,4022,1,0,detectorSmokeTransFault,System.UInt16,,,,,,探测器烟雾传感器故障,,,
3,4022,1,1,detectorNTCFault,System.UInt16,,,,,,探测器NTC故障,,,
3,4022,1,2,detectorCOTransFault,System.UInt16,,,,,,探测器CO传感器故障,,,
3,4022,1,3,detectorH2TransFault,System.UInt16,,,,,,探测器H2传感器故障,,,
3,4022,1,4,detectorVOCTransFault,System.UInt16,,,,,,探测器VOC传感器故障,,,
3,4022,1,5,detectorVDD5VFault,System.UInt16,,,,,,探测器VDD5V故障,,,
3,4022,1,6,detectorFlashFault,System.UInt16,,,,,,探测器Flash故障,,,
3,4022,1,7,detectorSmokeNo0Fault,System.UInt16,,,,,,探测器烟雾未调0故障,,,
3,4022,1,8,detectorTotalFault,System.UInt16,,,,,,探测器总故障,,,
3,4022,1,9,detector33VTransFault,System.UInt16,,,,,,探测器传感器模块3.3V故障,,,
3,4022,1,10,detectorGNDFault,System.UInt16,,,,,,探测器GND故障,,,
3,4022,1,11,detectorModuleDropFault,System.UInt16,,,,,,探测器传感器模块脱落故障,,,
3,4022,1,12,detectorPuncturedValveFault,System.UInt16,,,,,,探测器刺破阀故障,,,
3,4023,16,0,detectorWarningLevel,System.UInt16,,,,,,探测器告警等级,,,
3,4024,1,0,detectorH2AlarmLv1,System.UInt16,,,,,,探测器氢气1级预警,,,
3,4024,1,1,detectorCOAlarmLv1,System.UInt16,,,,,,探测器一氧化碳1级预警,,,
3,4024,1,2,detectorSmokeTansAlarmLv1,System.UInt16,,,,,,探测器烟感1级预警,,,
3,4024,1,3,detectorTempAlarmLv1,System.UInt16,,,,,,探测器温度1级预警,,,
3,4024,1,4,detectorH2AlarmLv2,System.UInt16,,,,,,探测器氢气2级预警,,,
3,4024,1,5,detectorCOAlarmLv2,System.UInt16,,,,,,探测器烟感2级预警,,,
3,4024,1,6,detectorTempAlarmLv2,System.UInt16,,,,,,探测器温度2级预警,,,
3,4025,16,0,detectorCOData,System.UInt16,,,,,ppm,探测器CO数据,,,
3,4026,16,0,detectorH2Data,System.UInt16,,,,,ppm,探测器H2数据,,,
3,4027,16,0,detectorVOCData,System.UInt16,,,,,ppm,探测器VOC数据,,,
3,4028,16,0,detectorSmokeData,System.UInt16,,,Param/100,,db/m,探测器烟雾数据,,,
3,4029,16,0,detectorTempData,System.UInt16,,,Param-40,,℃,探测器温度数据,,,
3,4030,1,0,detectorLevelInput,System.UInt16,,,,,,探测器高低电平输入,,,
3,4030,1,1,detectorRelayStatus,System.UInt16,,,,,,探测器继电器状态,,,
3,4031,16,0,detectorRelayOutputStatus,System.UInt16,,,,,,探测器继电器输出状态,,,
3,4032,16,0,detectorDeviceType,System.UInt16,,,,,,探测器设备种类,,,
