FunctionCode,Address,Size,Index,ParamName,Comments,Type,Min,Max,Expression,ReExpression,Unit,SampleRate,DefaultValue,DataOrder
3,32,1,0,sysErrorStatus,系统故障状态1- 故障， 0- 正常,System.Boolean,,,,,,1,,
3,32,1,1,sysWarningStatus,系统告警状态1- 告警， 0- 正常,System.Boolean,,,,,,1,,
3,32,1,2,sysDeratingStatus,系统降额状态1- 降额， 0- 正常,System.Boolean,,,,,,1,,
3,32,1,3,sysBootingStatus,系统启动中状态1- 启动中， 0- 否,System.Boolean,,,,,,1,,
3,32,1,4,sysGridtiedStatus,系统并网状态1- 并网， 0- 否,System.Boolean,,,,,,1,,
3,32,1,5,sysOffgridStatus,系统离网状态1- 离网， 0- 否,System.Boolean,,,,,,1,,
3,32,1,9,sysFailedStatus,系统失效状态1-失效，0-正常,System.Boolean,,,,,,1,,
3,33,1,0,sysONOFFStatus,系统启停状态1- 运行， 0- 停止,System.Boolean,,,,,,1,,
3,33,1,1,sysStandbyStatus,系统待机状态1- 待机， 0- 否,System.Boolean,,,,,,1,,
3,33,1,2,sysChargingStatus,系统充电状态1- 充电， 0- 否,System.Boolean,,,,,,1,,
3,33,1,3,sysDischargingStatus,系统放电状态1- 放电， 0- 否,System.Boolean,,,,,,1,,
3,33,1,4,sysFullyChargedStatus,系统充满状态1- 是， 0- 否,System.Boolean,,,,,,1,,
3,33,1,5,sysTotallyDischargedStatus,系统放空状态1- 是， 0- 否,System.Boolean,,,,,,1,,
3,33,1,6,sysConstantVoltToppingCharging,系统均充状态1- 是， 0- 否,System.Boolean,,,,,,1,,
3,106,1,0,ePOFault,紧急停机1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,106,1,1,calibrationParamFault,校准参数异常1- 告警，0- 正常,System.Boolean,,,,,,1,,
3,106,1,2,samplingZeroFault,采样零点异常1- 告警，0- 正常,System.Boolean,,,,,,1,,
3,106,1,3,flashFault,Flash异常1- 失效，0- 正常,System.Boolean,,,,,,1,,
3,106,1,4,dSPInitFault,DSP初始化异常1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,106,1,5,monitorInitFault,监控初始化异常1- 告警，0- 正常,System.Boolean,,,,,,1,,
3,106,1,6,dSPVersionFault,DSP版本异常1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,106,1,7,cPLDVersionFault,CPLD版本异常1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,106,1,8,hardwareVersionFault,硬件版本异常1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,106,1,9,iDReduplicatedFault,重号故障1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,106,1,10,masterConflictFault,主机冲突故障1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,106,1,11,dSPParamMismatchFault,DSP参数设置不匹配1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,106,1,12,monitorParamMismatchAlarm,监控参数设置不匹配1- 告警，0- 正常,System.Boolean,,,,,,1,,
3,106,1,13,drm0ShutdownFault,Drm0 关机1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,107,1,1,cANACommFault,CANA通信故障1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,107,1,8,eMSCommConnectionTimeoutFault,EMS通信连接超时1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,107,1,9,bMSCommConnectionTimeoutFault,BMS通信连接超时1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,107,1,11,gridAmmeterCommTimeoutAlarm,电网电表通信超时1- 告警，0- 正常,System.Boolean,,,,,,1,,
3,108,1,1,moduleFanFault1,模块风扇故障11- 失效，0- 正常,System.Boolean,,,,,,1,,
3,108,1,11,auxiliaryPowerFault1,辅助电源故障11- 失效，0- 正常,System.Boolean,,,,,,1,,
3,108,1,12,auxiliaryPowerFault2,辅助电源故障21- 失效，0- 正常,System.Boolean,,,,,,1,,
3,108,1,13,auxiliaryPowerFault3,辅助电源故障31- 失效，0- 正常,System.Boolean,,,,,,1,,
3,109,1,1,moduleOverTemper1Fault,模块过温11- 故障，0- 正常,System.Boolean,,,,,,1,,
3,109,1,2,moduleOverTemper2Fault,模块过温21- 故障，0- 正常,System.Boolean,,,,,,1,,
3,109,1,9,ambientOvertempFault,环境过温故障1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,109,1,13,ambientOvertempDeratingAlarm,环境过温降额1- 告警，0- 正常,System.Boolean,,,,,,1,,
3,110,1,11,batteryUnderEnergyFault,电池电量不足1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,111,1,0,bmsDryContactFault,BMS干节点故障1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,112,1,9,moduleCurrLimitAlarm1,模块限流告警11- 告警，0- 正常,System.Boolean,,,,,,1,,
3,112,1,10,moduleCurrLimitAlarm2,模块限流告警21- 告警，0- 正常,System.Boolean,,,,,,1,,
3,112,1,11,moduleCurrLimitAlarm3,模块限流告警31- 告警，0- 正常,System.Boolean,,,,,,1,,
3,112,1,12,moduleCurrLimitAlarm4,模块限流告警41- 告警，0- 正常,System.Boolean,,,,,,1,,
3,112,1,13,moduleCurrLimitAlarm5,模块限流告警51- 告警，0- 正常,System.Boolean,,,,,,1,,
3,112,1,14,moduleCurrLimitAlarm6,模块限流告警61- 告警，0- 正常,System.Boolean,,,,,,1,,
3,112,1,15,moduleCurrLimitAlarm7,模块限流告警71- 告警，0- 正常,System.Boolean,,,,,,1,,
3,113,1,1,moduleCurrFault1,模块电流异常11- 故障，0- 正常,System.Boolean,,,,,,1,,
3,113,1,2,moduleCurrFault2,模块电流异常21- 故障，0- 正常,System.Boolean,,,,,,1,,
3,113,1,3,moduleCurrFault3,模块电流异常31- 故障，0- 正常,System.Boolean,,,,,,1,,
3,113,1,4,moduleCurrFault4,模块电流异常41- 故障，0- 正常,System.Boolean,,,,,,1,,
3,113,1,5,moduleCurrFault5,模块电流异常51- 故障，0- 正常,System.Boolean,,,,,,1,,
3,113,1,6,moduleCurrFault6,模块电流异常61- 故障，0- 正常,System.Boolean,,,,,,1,,
3,113,1,7,moduleCurrFault7,模块电流异常71- 故障，0- 正常,System.Boolean,,,,,,1,,
3,114,1,0,dCInputOverVoltFault,直流输入过压1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,114,1,1,dCInputUnderVoltFault,直流输入欠压1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,114,1,3,dCOverloadAlarm,直流过载报警1- 告警，0- 正常,System.Boolean,,,,,,1,,
3,114,1,4,dCOverloadTimeoutFault,直流过载超时1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,114,1,5,dCInputSoftStartFailedFault,直流输入软启动失败1- 失效，0- 正常,System.Boolean,,,,,,1,,
3,114,1,6,dCInputGalvanicBreakDeviceOpenCircuitFault,直流输入电控开关开路1- 失效，0- 正常,System.Boolean,,,,,,1,,
3,114,1,7,dCInputGalvanicBreakDeviceShortCircuitFault,直流输入电控开关短路1- 失效，0- 正常,System.Boolean,,,,,,1,,
3,114,1,9,dCInputSoftGalvanicBreakDeviceFault,直流输入软启电控开关故障1- 失效，0- 正常,System.Boolean,,,,,,1,,
3,115,1,0,dCBusOverVoltFault,直流母线过压1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,115,1,1,dCBusUnderVoltFault,直流母线欠压1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,115,1,2,dCBusVoltUnbalancedFault,直流母线电压不平衡1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,115,1,3,dCBusSoftStartFailedFault,直流母线软启动失败1- 失效，0- 正常,System.Boolean,,,,,,1,,
3,115,1,9,bMSShutdownFault,BMS关机故障1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,120,1,0,aCBusOverVoltFault,交流母线过压1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,120,1,1,aCBusUnderVoltFault,交流母线欠压1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,120,1,2,aCBusOverFrequencyFault,交流母线过频1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,120,1,3,aCBusUnderFrequencyFault,交流母线欠频1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,120,1,4,aCBusPhaseReversedFault,交流母线反序1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,120,1,5,aCBusVoltAsymmetricFault,交流母线电压不平衡1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,120,1,6,aCBusVoltFault,交流母线电压异常1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,120,1,7,aCBusPhaseLostFault,交流母线缺相1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,120,1,8,islandingProtectionFault,孤岛保护1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,120,1,11,acOverloadAlarm,交流过载报警1- 告警，0- 正常,System.Boolean,,,,,,1,,
3,120,1,12,acOverloadTimeoutFault,交流过载超时1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,120,1,13,acBusConnectionForbiddenFault,交流母线禁止接入1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,121,1,1,offgridVoltOscillationFault,离网电压震荡1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,121,1,6,onOffgridTogglingErrorFault,并离网切换错误1- 故障，0- 正常,System.Boolean,,,,,,1,,
3,121,1,7,aCSoftStartFailedFault,交流软启动失败1- 失效，0- 正常,System.Boolean,,,,,,1,,
3,121,1,8,aCGalvanicBreakDeviceOpenCircuitFault,交流电控开关开路1- 失效，0- 正常,System.Boolean,,,,,,1,,
3,121,1,9,aCGalvanicBreakDeviceShortCircuitFault,交流电控开关短路1- 失效，0- 正常,System.Boolean,,,,,,1,,
3,164,16,0,totalPFOfACBus,交流母线总功率因数,System.Int16,,,,,,1,,
3,165,16,0,l1PFOfACBus,交流母线A相功率因数,System.Int16,,,,,,1,,
3,166,16,0,l2PFOfACBus,交流母线B相功率因数,System.Int16,,,,,,1,,
3,167,16,0,l3PFOfACBus,交流母线C相功率因数,System.Int16,,,,,,1,,
3,168,16,0,totalActivePowerOfACBus,交流母线总有功功率,System.Int16,,,Param*0.1,,kW,1,,
3,169,16,0,l1ActivePowerOfACBus,交流母线A相有功功率,System.Int16,,,Param*0.1,,kW,1,,
3,170,16,0,l2ActivePowerOfACBus,交流母线B相有功功率,System.Int16,,,Param*0.1,,kW,1,,
3,171,16,0,l3ActivePowerOfACBus,交流母线C相有功功率,System.Int16,,,Param*0.1,,kW,1,,
3,172,16,0,totalReactivePowerOfACBus,交流母线总无功功率,System.Int16,,,Param*0.1,,kVAr,1,,
3,173,16,0,l1ReactivePowerOfACBus,交流母线A相无功功率,System.Int16,,,Param*0.1,,kVAr,1,,
3,174,16,0,l2ReactivePowerOfACBus,交流母线B相无功功率,System.Int16,,,Param*0.1,,kVAr,1,,
3,175,16,0,l3ReactivePowerOfACBus,交流母线C相无功功率,System.Int16,,,Param*0.1,,kVAr,1,,
3,176,16,0,totalApparentPowerOfACBus,交流母线总视在功率,System.Int16,,,Param*0.1,,kVA,1,,
3,177,16,0,l1ApparentPowerOfACBus,交流母线A相视在功率,System.Int16,,,Param*0.1,,kVA,1,,
3,178,16,0,l2ApparentPowerOfACBus,交流母线B相视在功率,System.Int16,,,Param*0.1,,kVA,1,,
3,179,16,0,l3ApparentPowerOfACBus,交流母线C相视在功率,System.Int16,,,Param*0.1,,kVA,1,,
3,180,16,0,l1CurrOfACBus,交流母线A相电流,System.Int16,,,Param*0.1,,A,1,,
3,181,16,0,l2CurrOfACBus,交流母线B相电流,System.Int16,,,Param*0.1,,A,1,,
3,182,16,0,l3CurrOfACBus,交流母线C相电流,System.Int16,,,Param*0.1,,A,1,,
3,183,16,0,aCBusFrequency,交流母线频率,System.UInt16,,,Param*0.01,,Hz,1,,
3,184,16,0,l1L2VoltOfACBus,交流母线AB线电压,System.UInt16,,,Param*0.1,,V,1,,
3,185,16,0,l2L3VoltOfACBus,交流母线BC线电压,System.UInt16,,,Param*0.1,,V,1,,
3,186,16,0,l3L1VoltOfACBus,交流母线CA线电压,System.UInt16,,,Param*0.1,,V,1,,
3,466,32,0,accumulativeDischargedEnergyThroughACPort,累计交流放电电量,System.UInt32,,,Param*0.1,,kWh,5,,
3,468,32,0,accumulativeChargedEnergyThroughACPort,累计交流充电电量,System.UInt32,,,Param*0.1,,kWh,5,,
3,474,16,0,dailyDischargedEnergyThroughACPort,当天交流放电电量,System.UInt16,,,,,kWh,5,,
3,475,16,0,dailyChargedEnergyThroughACPort,当天交流充电电量,System.UInt16,,,,,kWh,5,,
3,491,16,0,dCPower,直流功率,System.Int16,,,Param*0.1,,kW,1,,
3,492,16,0,dCCurr,直流电流,System.Int16,,,Param*0.1,,A,1,,
3,493,16,0,dCInputVolt,直流输入电压,System.Int16,,,Param*0.1,,V,1,,
3,1001,16,0,totalStart,总开机1- 启动， 其他-无效,System.UInt16,,,,,,10,,
3,1002,16,0,totalStop,总关机1- 停止， 其他-无效,System.UInt16,,,,,,10,,
3,1003,16,0,clearError,清除故障1- 清除， 其他-无效,System.UInt16,,,,,,10,,
3,1006,16,0,gridInterconnectionMode,并离网模式0- 并网， 1- 离网,System.UInt16,,,,,,10,,
3,1022,16,0,activePowerControlMode,有功控制模式0- 设置有功， 1- 电压-有功调节， 2- 频率-有功调节， 3- 电压&频率-有功调节， certification-default,System.UInt16,,,,,,10,,
3,1023,16,0,reactivePowerControlMode,无功控制模式0- 禁用， 1- 设置无功， 2- 设置PF， 3- 电压-无功调节， 4- 有功-PF调节， 5- 有功-无功调节， certification-default,System.UInt16,,,,,,10,,
3,1024,16,0,activePowerSetpo,有功功率设置-1400.0~1400.0， 单位: 0.1kW， 默认: 0; +: 充电， 功率从电网到电池， -: 放电， 功率从电池到电网. (RAM),System.Int16,,,Param*0.1,Param*10,,10,,
3,1025,16,0,reactivePowerSetpo,无功功率设置-1400.0~1400.0， 单位: 0.1kVAr， 默认: 0; +: 滞后， -: 超前. (RAM),System.Int16,,,Param*0.1,Param*10,,10,,
3,1026,16,0,pFSetpo,功率因数设置-1~+1， 单位: 0.01， 默认: 1; +: 滞后， -: 超前. (RAM),System.Int16,,,Param*0.01,Param*100,,10,,
3,1211,16,0,controlMode,控制模式0- 本地手动， 1- 本地自动， 2- 远程控制， 默认: 0,System.UInt16,,,,,,10,,
3,1341,16,0,overVoltRegion1Boundary,过压I段保护范围1.000~1.350， 单位: 0.001(*Vnom)， certification-default,System.UInt16,,,Param*0.001,Param*1000,,5,,
3,1342,16,0,overVoltRegion1TripTime,过压I段保护时间0.00~180.00， 单位: 0.01s， certification-default,System.UInt16,,,Param*0.01,Param*100,,5,,
3,1343,16,0,overVoltRegion2Boundary,过压II段保护范围1.000~1.350， 单位: 0.001(*Vnom)， certification-default,System.UInt16,,,Param*0.001,Param*1000,,5,,
3,1344,16,0,overVoltRegion2TripTime,过压II段保护时间0.00~180.00， 单位: 0.01s， certification-default,System.UInt16,,,Param*0.01,Param*100,,5,,
3,1345,16,0,underVoltRegion1Boundary,欠压I段保护范围0.050~1.000， 单位: 0.001(*Vnom)， certification-default,System.UInt16,,,Param*0.001,Param*1000,,5,,
3,1346,16,0,underVoltRegion1TripTime,欠压I段保护时间0.00~180.00， 单位: 0.01s， certification-default,System.UInt16,,,Param*0.01,Param*100,,5,,
