FunctionCode,Address,Type,Size,ParamName,Scale,Description,ModelSim
3,7000,u16,16,param1,1,运行状态,0
3,7001,u32,32,param2,1000,总视在功率,model=4|arg1=emu.PcsList[deviceId].ApparentPower|arg2=|arg3=|arg4=1000
3,7003,int32,32,param3,1000,总有功功率,model=4|arg1=emu.PcsList[deviceId].ActivePower|arg2=|arg3=|arg4=1000
3,7005,int32,32,param4,1000,总无功功率,model=4|arg1=emu.PcsList[deviceId].ReactivePower|arg2=|arg3=|arg4=1000
3,7007,u32,32,param5,1,累计运行时间,0
3,7009,u16,16,param6,10,电网频率,0
3,7010,int16,16,param7,10,功率因数,0
3,7011,u16,16,param8,10,总电流 U 相,model=4|arg1=emu.PcsList[deviceId].PhaseACurrent|arg2=|arg3=|arg4=1000
3,7012,u16,16,param9,10,总电流 V 相,model=4|arg1=emu.PcsList[deviceId].PhaseBCurrent|arg2=|arg3=|arg4=1000
3,7013,u16,16,param10,10,总电流 W 相,model=4|arg1=emu.PcsList[deviceId].PhaseCCurrent|arg2=|arg3=|arg4=1000
3,7014,u32,32,param11,1000,日充电量,0
3,7016,u32,32,param12,1000,日放电量,0
3,7018,u32,32,param13,1000,总充电量,0
3,7020,u32,32,param14,1000,总放电量,0
3,7200,u16,16,param15,1,单元1告警1,model=4|arg1=emu.PcsList[deviceId].AlarmSummary1|arg2=|arg3=|arg4=1000
3,7201,u16,16,param16,1,单元1告警2,model=4|arg1=emu.PcsList[deviceId].AlarmSummary2|arg2=|arg3=|arg4=1000
3,7202,u16,16,param17,1,单元1告警3,model=4|arg1=emu.PcsList[deviceId].AlarmSummary3|arg2=|arg3=|arg4=1000
3,7203,u16,16,param18,1,单元1告警4,model=4|arg1=emu.PcsList[deviceId].AlarmSummary4|arg2=|arg3=|arg4=1000
3,7204,u16,16,param19,1,单元1告警5,model=4|arg1=emu.PcsList[deviceId].AlarmSummary5|arg2=|arg3=|arg4=1000
3,7205,u16,16,param20,1,单元1告警6,model=4|arg1=emu.PcsList[deviceId].AlarmSummary6|arg2=|arg3=|arg4=1000
3,7206,u16,16,param21,1,单元1告警7,model=4|arg1=emu.PcsList[deviceId].AlarmSummary7|arg2=|arg3=|arg4=1000
3,7207,u16,16,param22,1,单元1告警8,0
3,7208,u16,16,param23,1,单元1告警9,0
3,7209,u16,16,param24,1,单元1告警10,0
3,7210,u16,16,param25,1,单元1告警11,0
3,7211,u16,16,param26,1,单元1告警12,0
3,7212,u16,16,param27,1,单元1告警13,0
3,7213,u16,16,param28,1,单元1告警14,0
3,7214,u16,16,param29,1,单元1告警15,0
3,7215,u16,16,param30,1,单元1告警16,0
3,7216,u16,16,param31,10,单元1电网UV电压,model=4|arg1=emu.PcsList[deviceId].LineVoltageAB|arg2=|arg3=|arg4=1000
3,7217,u16,16,param32,10,单元1电网VW电压,model=4|arg1=emu.PcsList[deviceId].LineVoltageBC|arg2=|arg3=|arg4=1000
3,7218,u16,16,param33,10,单元1电网WU电压,model=4|arg1=emu.PcsList[deviceId].LineVoltageCA|arg2=|arg3=|arg4=1000
3,7219,u16,16,param34,10,单元1输出U相电流,model=4|arg1=emu.PcsList[deviceId].PhaseACurrent|arg2=|arg3=|arg4=1000
3,7220,u16,16,param35,10,单元1输出V相电流,model=4|arg1=emu.PcsList[deviceId].PhaseBCurrent|arg2=|arg3=|arg4=1000
3,7221,u16,16,param36,10,单元1输出W相电流,model=4|arg1=emu.PcsList[deviceId].PhaseCCurrent|arg2=|arg3=|arg4=1000
3,7222,u32,32,param37,1000,单元1视在功率,model=4|arg1=emu.PcsList[deviceId].ApparentPower|arg2=|arg3=|arg4=1000
3,7224,int32,32,param38,1000,单元1有功功率,model=4|arg1=emu.PcsList[deviceId].ActivePower|arg2=|arg3=|arg4=1000
3,7226,int32,32,param39,1000,单元1无功功率,model=4|arg1=emu.PcsList[deviceId].ReactivePower|arg2=|arg3=|arg4=1000
3,7228,int16,16,param40,10,单元1功率因数,model=4|arg1=emu.PcsList[deviceId].PowerFactor|arg2=|arg3=|arg4=1000
3,7229,u16,16,param41,10,单元1直流电压,model=4|arg1=emu.PcsList[deviceId].BatteryVoltage|arg2=|arg3=|arg4=1000
3,7230,int16,16,param42,10,单元1直流电流,model=4|arg1=emu.PcsList[deviceId].BatteryCurrent|arg2=|arg3=|arg4=1000
3,7231,int32,32,param43,1,单元1直流功率,model=4|arg1=emu.PcsList[deviceId].BatteryPower|arg2=|arg3=|arg4=1000
3,7233,u16,16,param44,100,单元1频率,model=4|arg1=emu.PcsList[deviceId].Frequency|arg2=|arg3=|arg4=1000
3,7234,int16,16,param45,10,单元1内部温度,model=4|arg1=emu.PcsList[deviceId].ControlCabinetTemp|arg2=|arg3=|arg4=1000
3,7235,int16,16,param46,10,单元1U相 IGBT温度,model=4|arg1=emu.PcsList[deviceId].PhaseAIGBTTemp|arg2=|arg3=|arg4=1000
3,7236,int16,16,param47,10,单元1V相 IGBT温度,model=4|arg1=emu.PcsList[deviceId].PhaseBIGBTTemp|arg2=|arg3=|arg4=1000
3,7237,int16,16,param48,10,单元1W相 IGBT温度,model=4|arg1=emu.PcsList[deviceId].PhaseCIGBTTemp|arg2=|arg3=|arg4=1000
