FunctionCode,Address,Type,Size,ParamName,Scale,Description,ModelSim
5,1000,bool,1,yx0,1,一键并网开关(写1触发),model=4|arg1=bmsdeviceId.BatteryStacks[0].GridConnectCommand|arg2=|arg3=|arg4=1000
5,1001,bool,1,yx1,1,Rack启用/停用状态,1
5,1002,bool,1,yx2,1,RACK 在线状态,1
5,1003,bool,1,yx3,1,系统运行状态,1
5,1004,bool,1,yx4,1,总控报警状态1,1
5,1005,bool,1,yx5,1,系统簇过压三级故障,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.OvervoltageFault|arg2=|arg3=|arg4=1000
5,1006,bool,1,yx6,1,系统簇欠压三级故障,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.UndervoltageFault|arg2=|arg3=|arg4=1000
5,1007,bool,1,yx7,1,系统单体过压三级故障,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.CellOverVoltageFault|arg2=|arg3=|arg4=1000
5,1008,bool,1,yx8,1,系统单体欠压三级故障,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.CellUnderVoltageFault|arg2=|arg3=|arg4=1000
5,1009,bool,1,yx9,1,系统放电过流三级故障,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.DischargeOvercurrentFault|arg2=|arg3=|arg4=1000
5,1010,bool,1,yx10,1,系统充电过流三级故障,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.ChargeOvercurrentFault|arg2=|arg3=|arg4=1000
5,1011,bool,1,yx11,1,系统放电过温三级故障,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.CellDischargeHighTempFault|arg2=|arg3=|arg4=1000
5,1012,bool,1,yx12,1,系统放电欠温三级故障,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.CellDischargeLowTempFault|arg2=|arg3=|arg4=1000
5,1013,bool,1,yx13,1,系统充电过温三级故障,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.CellChargeHighTempFault|arg2=|arg3=|arg4=1000
5,1014,bool,1,yx14,1,系统充电欠温三级故障,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.CellChargeLowTempFault|arg2=|arg3=|arg4=1000
5,1015,bool,1,yx15,1,系统绝缘失效三级故障,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.InsulationFault|arg2=|arg3=|arg4=1000
5,1016,bool,1,yx16,1,系统端子高温三级故障,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.TerminalHighTempFault|arg2=|arg3=|arg4=1000
5,1017,bool,1,yx17,1,系统高压箱连接器高温三级故障,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.HVBHighTempFault|arg2=|arg3=|arg4=1000
5,1018,bool,1,yx18,1,系统单体压差过高三级故障,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.VoltageDifferenceFault|arg2=|arg3=|arg4=1000
5,1019,bool,1,yx19,1,系统温差过高三级故障,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.TempDifferenceFault|arg2=|arg3=|arg4=1000
5,1020,bool,1,yx20,1,系统SOC过低三级故障,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.LowSOCFault|arg2=|arg3=|arg4=1000
5,1021,bool,1,yx21,1,系统簇过压二级报警,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.OvervoltageAlarm|arg2=|arg3=|arg4=1000
5,1022,bool,1,yx22,1,系统簇欠压二级报警,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.UndervoltageAlarm|arg2=|arg3=|arg4=1000
5,1023,bool,1,yx23,1,系统单体过压二级报警,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.CellOverVoltageAlarm|arg2=|arg3=|arg4=1000
5,1024,bool,1,yx24,1,系统单体欠压二级报警,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.CellUnderVoltageAlarm|arg2=|arg3=|arg4=1000
5,1025,bool,1,yx25,1,系统放电过流二级报警,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.DischargeOvercurrentAlarm|arg2=|arg3=|arg4=1000
5,1026,bool,1,yx26,1,系统充电过流二级报警,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.ChargeOvercurrentAlarm|arg2=|arg3=|arg4=1000
5,1027,bool,1,yx27,1,系统放电过温二级报警,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.CellDischargeHighTempAlarm|arg2=|arg3=|arg4=1000
5,1028,bool,1,yx28,1,系统放电欠温二级报警,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.CellDischargeLowTempAlarm|arg2=|arg3=|arg4=1000
5,1029,bool,1,yx29,1,系统充电过温二级报警,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.CellChargeHighTempAlarm|arg2=|arg3=|arg4=1000
5,1030,bool,1,yx30,1,系统充电欠温二级报警,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.CellChargeLowTempAlarm|arg2=|arg3=|arg4=1000
5,1031,bool,1,yx31,1,系统绝缘失效二级报警,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.InsulationAlarm|arg2=|arg3=|arg4=1000
5,1032,bool,1,yx32,1,系统端子高温二级报警,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.TerminalHighTempAlarm|arg2=|arg3=|arg4=1000
5,1033,bool,1,yx33,1,系统高压箱连接器高温二级报警,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.HVBHighTempAlarm|arg2=|arg3=|arg4=1000
5,1034,bool,1,yx34,1,系统单体压差过高二级报警,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.VoltageDifferenceAlarm|arg2=|arg3=|arg4=1000
5,1035,bool,1,yx35,1,系统温差过高二级报警,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.TempDifferenceAlarm|arg2=|arg3=|arg4=1000
5,1036,bool,1,yx36,1,系统SOC过低二级报警,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.LowSOCAlarm|arg2=|arg3=|arg4=1000
5,1037,bool,1,yx37,1,系统簇过压一级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.OvervoltageProtection|arg2=|arg3=|arg4=1000
5,1038,bool,1,yx38,1,系统簇欠压一级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.UndervoltageProtection|arg2=|arg3=|arg4=1000
5,1039,bool,1,yx39,1,系统单体过压一级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.CellOverVoltageProtection|arg2=|arg3=|arg4=1000
5,1040,bool,1,yx40,1,系统单体欠压一级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.CellUnderVoltageProtection|arg2=|arg3=|arg4=1000
5,1041,bool,1,yx41,1,系统放电过流一级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.DischargeOvercurrentProtection|arg2=|arg3=|arg4=1000
5,1042,bool,1,yx42,1,系统充电过流一级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.ChargeOvercurrentProtection|arg2=|arg3=|arg4=1000
5,1043,bool,1,yx43,1,系统放电过温一级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.CellDischargeHighTempProtection|arg2=|arg3=|arg4=1000
5,1044,bool,1,yx44,1,系统放电欠温一级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.CellDischargeLowTempProtection|arg2=|arg3=|arg4=1000
5,1045,bool,1,yx45,1,系统充电过温一级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.CellChargeHighTempProtection|arg2=|arg3=|arg4=1000
5,1046,bool,1,yx46,1,系统充电欠温一级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.CellChargeLowTempProtection|arg2=|arg3=|arg4=1000
5,1047,bool,1,yx47,1,系统绝缘失效一级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.InsulationProtection|arg2=|arg3=|arg4=1000
5,1048,bool,1,yx48,1,系统端子高温一级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.TerminalHighTempProtection|arg2=|arg3=|arg4=1000
5,1049,bool,1,yx49,1,系统高压箱连接器高温一级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.HVBHighTempProtection|arg2=|arg3=|arg4=1000
5,1050,bool,1,yx50,1,系统单体压差过高一级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.VoltageDifferenceProtection|arg2=|arg3=|arg4=1000
5,1051,bool,1,yx51,1,系统温差过高一级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.TempDifferenceProtection|arg2=|arg3=|arg4=1000
5,1052,bool,1,yx52,1,系统SOC过低一级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].SystemAlarms.LowSOCProtection|arg2=|arg3=|arg4=1000
4,10000,u16,16,yc0,1,一键并网状态0未开始1进行中2成功3失败,model=4|arg1=bmsdeviceId.BatteryStacks[0].GridConnectStatus|arg2=|arg3=|arg4=1000
4,10001,u16,16,yc1,1,系统充放电状态,model=4|arg1=bmsdeviceId.BatteryStacks[0].ChargeDischargeStatus|arg2=|arg3=|arg4=1000
4,10002,u16,16,yc2,1,系统三级报警汇总,model=4|arg1=bmsdeviceId.BatteryStacks[0].BMSFaultSummary|arg2=|arg3=|arg4=1000
4,10003,u16,16,yc3,1,系统二级报警汇总,model=4|arg1=bmsdeviceId.BatteryStacks[0].BMSAlarmSummary|arg2=|arg3=|arg4=1000
4,10004,u16,16,yc4,1,系统一级报警汇总,model=4|arg1=bmsdeviceId.BatteryStacks[0].BMSProtectionSummary|arg2=|arg3=|arg4=1000
4,10005,u16,16,yc5,1,系统总电压,model=4|arg1=bmsdeviceId.BatteryStacks[0].TotalVoltage|arg2=|arg3=|arg4=1000
4,10006,int16,16,yc6,10,系统总电流,model=4|arg1=bmsdeviceId.BatteryStacks[0].Current|arg2=|arg3=|arg4=1000
4,10007,u16,16,yc7,1000,系统SOC,model=4|arg1=bmsdeviceId.BatteryStacks[0].SOC|arg2=|arg3=|arg4=1000
4,10008,u16,16,yc8,1000,系统SOH,model=4|arg1=bmsdeviceId.BatteryStacks[0].SOH|arg2=|arg3=|arg4=1000
4,10009,u16,16,yc9,1,系统绝缘值,10000
4,10010,u16,16,yc10,1,系统可充电量,model=4|arg1=bmsdeviceId.BatteryStacks[0].AvailableChargeCapacity|arg2=|arg3=|arg4=1000
4,10011,u16,16,yc11,1,系统可放电量,model=4|arg1=bmsdeviceId.BatteryStacks[0].AvailableDischargeCapacity|arg2=|arg3=|arg4=1000
4,10012,u16,16,yc12,1,系统允许最大充电电流,model=4|arg1=bmsdeviceId.BatteryStacks[0].MaxChargeCurrent|arg2=|arg3=|arg4=1000
4,10013,u16,16,yc13,1,系统允许最大放电电流,model=4|arg1=bmsdeviceId.BatteryStacks[0].MaxDischargeCurrent|arg2=|arg3=|arg4=1000
4,10014,int16,16,yc14,1,簇间电流差异值,model=4|arg1=bmsdeviceId.BatteryStacks[0].ClusterCurrentDiff|arg2=|arg3=|arg4=1000
4,10015,u16,16,yc15,1,簇间总压差异值,model=4|arg1=bmsdeviceId.BatteryStacks[0].ClusterVoltageDiff|arg2=|arg3=|arg4=1000
4,10016,u16,16,yc16,1,系统最高电压电池所在Rack号,model=4|arg1=bmsdeviceId.BatteryStacks[0].MaxCellVoltageClusterId|arg2=|arg3=|arg4=1000
4,10017,u16,16,yc17,1,系统最高电压电池所在组,model=4|arg1=bmsdeviceId.BatteryStacks[0].MaxCellVoltagePackId|arg2=|arg3=|arg4=1000
4,10018,u16,16,yc18,1,系统最高电压电池所在位置,model=4|arg1=bmsdeviceId.BatteryStacks[0].MaxCellVoltageCellId|arg2=|arg3=|arg4=1000
4,10019,u16,16,yc19,1000,系统最高电池电压,model=4|arg1=bmsdeviceId.BatteryStacks[0].MaxCellVoltage|arg2=|arg3=|arg4=1000
4,10020,u16,16,yc20,1,系统最低电压电池所在Rack号,model=4|arg1=bmsdeviceId.BatteryStacks[0].MinCellVoltageClusterId|arg2=|arg3=|arg4=1000
4,10021,u16,16,yc21,1,系统最低电压电池所在组,model=4|arg1=bmsdeviceId.BatteryStacks[0].MinCellVoltagePackId|arg2=|arg3=|arg4=1000
4,10022,u16,16,yc22,1,系统最低电压电池所在位置,model=4|arg1=bmsdeviceId.BatteryStacks[0].MinCellVoltageCellId|arg2=|arg3=|arg4=1000
4,10023,u16,16,yc23,1000,系统最低电池电压,model=4|arg1=bmsdeviceId.BatteryStacks[0].MinCellVoltage|arg2=|arg3=|arg4=1000
4,10024,u16,16,yc24,1000,系统平均电压,model=4|arg1=bmsdeviceId.BatteryStacks[0].AvgCellVoltage|arg2=|arg3=|arg4=1000
4,10025,u16,16,yc25,1,系统最高温度电池所在Rack号,model=4|arg1=bmsdeviceId.BatteryStacks[0].MaxCellTempClusterId|arg2=|arg3=|arg4=1000
4,10026,u16,16,yc26,1,系统最高温度电池所在组,model=4|arg1=bmsdeviceId.BatteryStacks[0].MaxCellTempPackId|arg2=|arg3=|arg4=1000
4,10027,u16,16,yc27,1,系统最高温度电池所在位置,model=4|arg1=bmsdeviceId.BatteryStacks[0].MaxCellTempCellId|arg2=|arg3=|arg4=1000
4,10028,int16,16,yc28,10,系统最高电池温度,model=4|arg1=bmsdeviceId.BatteryStacks[0].MaxCellTemp|arg2=|arg3=|arg4=1000
