FunctionCode,Address,Type,Size,ParamName,Scale,Description,ModelSim
4,8193,u16,16,yc133,1,Rack运行状态,1
4,8194,u16,16,yc134,1,Rack预充电阶段,1
4,8195,u16,16,yc135,1,Rack接触器状态,1
4,8196,u16,16,yc136,1,Rack故障,0
4,8197,u16,16,yc137,1,Rack三级报警,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Alarms.RackProtectionSummary1|arg2=|arg3=|arg4=1000
4,8198,u16,16,yc138,1,Rack二级报警,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Alarms.RackAlarmSummary1|arg2=|arg3=|arg4=1000
4,8199,u16,16,yc139,1,Rack一级报警,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Alarms.RackFaultSummary1|arg2=|arg3=|arg4=1000
4,8200,u16,16,yc140,1,Rack切入失败原因,0
4,8201,u16,16,yc141,1,Rack未启动切入原因,0
4,8202,u16,16,yc142,1,Rack预充总压,0
4,8203,u16,16,yc143,10,Rack电池总电压,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Measurements.TotalVoltage|arg2=|arg3=|arg4=1000
4,8204,int16,16,yc144,10,Rack电池总电流,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Measurements.Current|arg2=|arg3=|arg4=1000
4,8205,u16,16,yc145,1,Rack充放电指示,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Measurements.OperationStatus|arg2=|arg3=|arg4=1000
4,8206,u16,16,yc146,1000,RackSOC,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Measurements.SOC|arg2=|arg3=|arg4=1000
4,8207,u16,16,yc147,1000,RackSOH,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Measurements.SOH|arg2=|arg3=|arg4=1000
4,8208,u16,16,yc148,10,Rack绝缘值,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Measurements.Insulation|arg2=|arg3=|arg4=1000
4,8209,u16,16,yc149,10,Rack正极绝缘值,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Measurements.InsulationPlus|arg2=|arg3=|arg4=1000
4,8210,u16,16,yc150,10,Rack负极绝缘值,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Measurements.InsulationMinus|arg2=|arg3=|arg4=1000
4,8211,u16,16,yc151,10,Rack最大充电电流,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Measurements.MaxChargeCurrent|arg2=|arg3=|arg4=1000
4,8212,u16,16,yc152,10,Rack最大放电电流,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Measurements.MaxDischargeCurrent|arg2=|arg3=|arg4=1000
4,8213,u16,16,yc153,1,Rack单体电压最高节序号,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Measurements.MaxCellVoltageId|arg2=|arg3=|arg4=1000
4,8214,u16,16,yc154,1000,Rack单体最高电压值,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Measurements.MaxCellVoltage|arg2=|arg3=|arg4=1000
4,8215,u16,16,yc155,1,Rack单体电压最低节序号,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Measurements.MinCellVoltageId|arg2=|arg3=|arg4=1000
4,8216,u16,16,yc156,1000,Rack单体最低电压值,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Measurements.MinCellVoltage|arg2=|arg3=|arg4=1000
4,8217,u16,16,yc157,1,Rack单体温度最高节序号,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Measurements.MaxCellTempId|arg2=|arg3=|arg4=1000
4,8218,int16,16,yc158,10,Rack单体温度最高值,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Measurements.MaxCellTemp|arg2=|arg3=|arg4=1000
4,8219,u16,16,yc159,1,Rack单体温度最低节序号,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Measurements.MinCellTempId|arg2=|arg3=|arg4=1000
4,8220,int16,16,yc160,10,Rack单体温度最低值,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Measurements.MinCellTemp|arg2=|arg3=|arg4=1000
4,8221,u16,16,yc161,1000,Rack平均电压,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Measurements.AvgCellVoltage|arg2=|arg3=|arg4=1000
4,8222,int16,16,yc162,10,Rack平均温度,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Measurements.AvgCellTemp|arg2=|arg3=|arg4=1000
4,8223,u16,16,yc163,10,Rack单体累加和总压,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Measurements.CellVoltageSum|arg2=|arg3=|arg4=1000
4,8224,int16,16,yc164,10,Rack高压箱温度1,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Measurements.HVB1Temp|arg2=|arg3=|arg4=1000
