FunctionCode,Address,Type,Size,ParamName,Scale,Description,ModelSim
4,0,int32,32,yc0,1000,A相电压,model=4|arg1=em.PhaseAVoltage|arg2= |arg3= |arg4=100
4,2,int32,32,yc1,1000,B相电压,model=4|arg1=em.PhaseBVoltage|arg2= |arg3= |arg4=100
4,4,int32,32,yc2,1000,C相电压,model=4|arg1=em.PhaseCVoltage|arg2= |arg3= |arg4=100
4,6,int32,32,yc3,1000,AB线电压,model=4|arg1=em.LineVoltageAB|arg2= |arg3= |arg4=100
4,8,int32,32,yc4,1000,BC线电压,model=4|arg1=em.LineVoltageBC|arg2= |arg3= |arg4=100
4,10,int32,32,yc5,1000,CA线电压,model=4|arg1=em.LineVoltageCA|arg2= |arg3= |arg4=100
4,12,int32,32,yc6,1000,A相电流,model=4|arg1=em.PhaseACurrent|arg2= |arg3= |arg4=100
4,14,int32,32,yc7,1000,B相电流,model=4|arg1=em.PhaseBCurrent|arg2= |arg3= |arg4=100
4,16,int32,32,yc8,1000,C相电流,model=4|arg1=em.PhaseCCurrent|arg2= |arg3= |arg4=100
4,18,int32,32,yc9,1000,A相有功功率,model=4|arg1=em.PhaseAActivePower|arg2= |arg3= |arg4=100
4,20,int32,32,yc10,1000,B相有功功率,model=4|arg1=em.PhaseBActivePower|arg2= |arg3= |arg4=100
4,22,int32,32,yc11,1000,C相有功功率,model=4|arg1=em.PhaseCActivePower|arg2= |arg3= |arg4=100
4,24,int32,32,yc12,1000,总有功功率,model=4|arg1=em.TotalActivePower|arg2= |arg3= |arg4=100
4,26,int32,32,yc13,1000,A相无功功率,model=4|arg1=em.PhaseAReactivePower|arg2= |arg3= |arg4=100
4,28,int32,32,yc14,1000,B相无功功率,model=4|arg1=em.PhaseBReactivePower|arg2= |arg3= |arg4=100
4,30,int32,32,yc15,1000,C相无功功率,model=4|arg1=em.PhaseCReactivePower|arg2= |arg3= |arg4=100
4,32,int32,32,yc16,1000,总无功功率,model=4|arg1=em.TotalReactivePower|arg2= |arg3= |arg4=100
4,34,int32,32,yc17,1000,总视在功率,model=4|arg1=em.TotalApparentPower|arg2= |arg3= |arg4=100
4,36,int32,32,yc18,1000,功率因数,model=4|arg1=em.PowerFactor|arg2= |arg3= |arg4=100
4,38,int32,32,yc19,1000,频率,50
4,40,int32,32,yc20,1000,正向总有功电能,model=4|arg1=em.ForwardActiveEnergy|arg2= |arg3= |arg4=100
4,42,int32,32,yc21,1000,反向总有功电能,model=4|arg1=em.ReverseActiveEnergy|arg2= |arg3= |arg4=100
