FunctionCode,Address,Type,Size,ParamName,Scale,Description,ModelSim
4,218,u16,16,status1,1,状态位1,0
4,219,u16,16,status2,1,状态位1,0
4,220,u16,16,status3,1,状态位1,0
4,221,u16,16,status4,1,状态位1,0
4,222,u16,16,status5,1,状态位1,0
4,223,u16,16,status6,1,状态位1,0
4,224,u16,16,status7,1,状态位1,0
4,225,u16,16,status8,1,状态位1,0
4,226,u16,16,status9,1,状态位1,0
4,227,u16,16,status10,1,状态位1,0
4,228,u16,16,alarm1,1,故障位1,0
4,229,u16,16,alarm2,1,故障位2,0
4,230,u16,16,alarm3,1,故障位3,0
4,231,u16,16,alarm4,1,故障位4,0
4,232,u16,16,alarm5,1,故障位5,0
4,233,u16,16,alarm6,1,故障位6,0
4,234,u16,16,alarm7,1,故障位7,0
4,235,u16,16,alarm8,1,故障位8,0
4,236,u16,16,alarm9,1,故障位9,0
4,237,u16,16,alarm10,1,故障位10,0
4,25300,u16,16,param1,10,单元1交流侧AB电压,model=4|arg1=emuDeviceId.PcsList[0].LineVoltageAB|arg2=|arg3=|arg4=1000
4,25301,u16,17,param2,10,单元1交流侧BC电压,model=4|arg1=emuDeviceId.PcsList[0].LineVoltageBC|arg2=|arg3=|arg4=1000
4,25302,u16,18,param3,10,单元1交流侧CA电压,model=4|arg1=emuDeviceId.PcsList[0].LineVoltageCA|arg2=|arg3=|arg4=1000
4,25303,u32,32,param4,1000,交流侧频率,50
4,25305,u16,16,param5,10,单元1交流侧A相电流,model=4|arg1=emuDeviceId.PcsList[0].PhaseACurrent|arg2=|arg3=|arg4=1000
4,25306,u16,16,param6,10,单元1交流侧B相电流,model=4|arg1=emuDeviceId.PcsList[0].PhaseBCurrent|arg2=|arg3=|arg4=1000
4,25307,u16,16,param7,10,单元1交流侧C相电流,model=4|arg1=emuDeviceId.PcsList[0].PhaseCCurrent|arg2=|arg3=|arg4=1000
4,25308,int32,32,param8,10,单元1交流侧有功功率,model=4|arg1=emuDeviceId.PcsList[0].ActivePower|arg2=|arg3=|arg4=1000
4,25310,int32,32,param9,10,单元1交流侧无功功率,model=4|arg1=emuDeviceId.PcsList[0].ReactivePower|arg2=|arg3=|arg4=1000
4,25312,int32,32,param10,10,单元1交流侧视在功率,model=4|arg1=emuDeviceId.PcsList[0].ApparentPower|arg2=|arg3=|arg4=1000
4,25314,int16,16,param11,1000,单元1功率因数,model=4|arg1=emuDeviceId.PcsList[0].PowerFactor|arg2=|arg3=|arg4=1000
4,25315,int16,16,param12,10,单元1直流侧电压,model=4|arg1=emuDeviceId.PcsList[0].BatteryVoltage|arg2=|arg3=|arg4=1000
4,25316,int16,16,param13,10,单元1直流侧电流,model=4|arg1=emuDeviceId.PcsList[0].BatteryCurrent|arg2=|arg3=|arg4=1000
4,25317,int32,32,param14,10,单元1直流侧功率,model=4|arg1=emuDeviceId.PcsList[0].BatteryPower|arg2=|arg3=|arg4=1000
4,25319,int16,16,param15,10,单元1 IGBT温度,model=4|arg1=emuDeviceId.PcsList[0].IGBTTemp|arg2=|arg3=|arg4=1000
4,25320,int16,16,param16,10,单元1 舱内温度,model=4|arg1=emuDeviceId.PcsList[0].ControlCabinetTemp|arg2=|arg3=|arg4=1000
4,25321,u16,16,param17,10,单元1最大允许充电功率,0
4,25322,u16,16,param18,10,单元1最大允许放电功率,0
4,25323,u16,16,param19,10,单元1最大感性无功,0
4,25324,u16,16,param20,10,单元1最大容性无功,0
4,25325,u32,32,param21,10,单元1总充电量,model=4|arg1=emuDeviceId.PcsList[0].TotalChargeEnergy|arg2=|arg3=|arg4=1000
4,25327,u32,32,param22,10,单元1总放电量,model=4|arg1=emuDeviceId.PcsList[0].TotalDischargeEnergy|arg2=|arg3=|arg4=1000
4,25329,u32,32,param23,10,单元1当日充电量,model=4|arg1=emuDeviceId.PcsList[0].DailyChargeEnergy|arg2=|arg3=|arg4=1000
4,25331,u32,32,param24,10,单元1当日放电量,model=4|arg1=emuDeviceId.PcsList[0].DailyDischargeEnergy|arg2=|arg3=|arg4=1000
4,25333,u16,16,param25,1,单元1运行状态,model=4|arg1=emuDeviceId.PcsList[0].OperationStatus|arg2=|arg3=|arg4=1000
4,25334,u16,16,param26,1,单元1当前告警,0
4,25335,u16,16,param27,1,单元1当前故障,0
4,25600,u16,16,param28,10,单元2交流侧AB电压,model=4|arg1=emuDeviceId.PcsList[1].LineVoltageAB|arg2=|arg3=|arg4=1000
4,25601,u16,17,param29,10,单元2交流侧BC电压,model=4|arg1=emuDeviceId.PcsList[1].LineVoltageBC|arg2=|arg3=|arg4=1000
4,25602,u16,18,param30,10,单元2交流侧CA电压,model=4|arg1=emuDeviceId.PcsList[1].LineVoltageCA|arg2=|arg3=|arg4=1000
4,25603,u32,32,param31,1000,交流侧频率,50
4,25605,u16,16,param32,10,单元2交流侧A相电流,model=4|arg1=emuDeviceId.PcsList[1].PhaseACurrent|arg2=|arg3=|arg4=1000
4,25606,u16,16,param33,10,单元2交流侧B相电流,model=4|arg1=emuDeviceId.PcsList[1].PhaseBCurrent|arg2=|arg3=|arg4=1000
4,25607,u16,16,param34,10,单元2交流侧C相电流,model=4|arg1=emuDeviceId.PcsList[1].PhaseCCurrent|arg2=|arg3=|arg4=1000
4,25608,int32,32,param35,10,单元2交流侧有功功率,model=4|arg1=emuDeviceId.PcsList[1].ActivePower|arg2=|arg3=|arg4=1000
4,25610,int32,32,param36,10,单元2交流侧无功功率,model=4|arg1=emuDeviceId.PcsList[1].ReactivePower|arg2=|arg3=|arg4=1000
4,25612,int32,32,param37,10,单元2交流侧视在功率,model=4|arg1=emuDeviceId.PcsList[1].ApparentPower|arg2=|arg3=|arg4=1000
4,25614,int16,16,param38,1000,单元2功率因数,model=4|arg1=emuDeviceId.PcsList[1].PowerFactor|arg2=|arg3=|arg4=1000
4,25615,int16,16,param39,10,单元2直流侧电压,model=4|arg1=emuDeviceId.PcsList[1].BatteryVoltage|arg2=|arg3=|arg4=1000
4,25616,int16,16,param40,10,单元2直流侧电流,model=4|arg1=emuDeviceId.PcsList[1].BatteryCurrent|arg2=|arg3=|arg4=1000
4,25617,int32,32,param41,10,单元2直流侧功率,model=4|arg1=emuDeviceId.PcsList[1].BatteryPower|arg2=|arg3=|arg4=1000
4,25619,int16,16,param42,10,单元2 IGBT温度,model=4|arg1=emuDeviceId.PcsList[1].IGBTTemp|arg2=|arg3=|arg4=1000
4,25620,int16,16,param43,10,单元2 舱内温度,model=4|arg1=emuDeviceId.PcsList[1].ControlCabinetTemp|arg2=|arg3=|arg4=1000
4,25621,u16,16,param44,10,单元2最大允许充电功率,0
4,25622,u16,16,param45,10,单元2最大允许放电功率,0
4,25623,u16,16,param46,10,单元2最大感性无功,0
4,25624,u16,16,param47,10,单元2最大容性无功,0
4,25625,u32,32,param48,10,单元2总充电量,model=4|arg1=emuDeviceId.PcsList[1].TotalChargeEnergy|arg2=|arg3=|arg4=1000
4,25627,u32,32,param49,10,单元2总放电量,model=4|arg1=emuDeviceId.PcsList[1].TotalDischargeEnergy|arg2=|arg3=|arg4=1000
4,25629,u32,32,param50,10,单元2当日充电量,model=4|arg1=emuDeviceId.PcsList[1].DailyChargeEnergy|arg2=|arg3=|arg4=1000
