FunctionCode,Address,Type,Size,ParamName,Scale,Description,ModelSim
3,7000,u16,16,param1,1,运行状态,model=4|arg1=emu.PcsList[deviceId].OperatingStatus|arg2=|arg3=|arg4=1000
3,7001,u32,32,param2,1000,总视在功率,model=4|arg1=emu.PcsList[deviceId].ApparentPower|arg2=|arg3=|arg4=1000
3,7003,int32,32,param3,1000,总有功功率,model=4|arg1=emu.PcsList[deviceId].ActivePower|arg2=|arg3=|arg4=1000
3,7005,int32,32,param4,1000,总无功功率,model=4|arg1=emu.PcsList[deviceId].ReactivePower|arg2=|arg3=|arg4=1000
3,7007,u32,32,param5,1,累计运行时间,0
3,7009,u16,16,param6,10,电网频率,50
3,7010,int16,16,param7,10,功率因数,model=4|arg1=emu.PcsList[deviceId].PowerFactor|arg2=|arg3=|arg4=1000
3,7011,u16,16,param8,10,总电流 U 相,model=4|arg1=emu.PcsList[deviceId].PhaseACurrent|arg2=|arg3=|arg4=1000
3,7012,u16,16,param9,10,总电流 V 相,model=4|arg1=emu.PcsList[deviceId].PhaseBCurrent|arg2=|arg3=|arg4=1000
3,7013,u16,16,param10,10,总电流 W 相,model=4|arg1=emu.PcsList[deviceId].PhaseCCurrent|arg2=|arg3=|arg4=1000
3,7014,u32,32,param11,1000,日充电量,model=4|arg1=emu.PcsList[deviceId].DailyChargeEnergy|arg2=|arg3=|arg4=1000
3,7016,u32,32,param12,1000,日放电量,model=4|arg1=emu.PcsList[deviceId].DailyDischargeEnergy|arg2=|arg3=|arg4=1000
3,7018,u32,32,param13,1000,总充电量,model=4|arg1=emu.PcsList[deviceId].TotalChargeEnergy|arg2=|arg3=|arg4=1000
3,7020,u32,32,param14,1000,总放电量,model=4|arg1=emu.PcsList[deviceId].TotalDischargeEnergy|arg2=|arg3=|arg4=1000
3,7200,u16,16,param15,1,单元1告警1,model=4|arg1=emu.PcsList[deviceId].AlarmSummary1|arg2=|arg3=|arg4=1000
3,7201,u16,16,param16,1,单元1告警2,model=4|arg1=emu.PcsList[deviceId].AlarmSummary2|arg2=|arg3=|arg4=1000
