FunctionCode,Address,Type,Size,ParamName,Scale,Description,ModelSim
2,0,bool,1,yx0,1,整租启动,0
2,1,bool,1,yx1,1,保护动作,0
2,2,bool,1,yx2,1,直流过流保护,0
2,3,bool,1,yx3,1,直流过压保护动作,0
2,4,bool,1,yx4,1,直流欠压保护动作,0
2,5,bool,1,yx5,1,直流反接保护动作,0
2,6,bool,1,yx6,1,Neutral-Point Voltage Unbalance Protection,0
2,6,bool,1,yx7,1,交流过流保护动作,0
2,7,bool,1,yx8,1,负序电流动作,0
2,8,bool,1,yx9,1,交流过压保护动作,0
2,9,bool,1,yx10,1,交流欠压保护动作,0
2,10,bool,1,yx11,1,负序电压动作,0
2,11,bool,1,yx12,1,过频保护动作,0
2,12,bool,1,yx13,1,欠频保护动作,0
2,13,bool,1,yx14,1,过温保护动作,0
2,14,bool,1,yx15,1,低温闭锁动作,0
2,15,bool,1,yx16,1,过载保护动作,0
2,16,bool,1,yx17,1,LVRT保护动作,0
2,18,bool,1,yx18,1,驱动保护动作,0
2,19,bool,1,yx19,1,A相驱动保护动作,0
2,20,bool,1,yx20,1,B相驱动保护动作,0
2,21,bool,1,yx21,1,C相驱动保护动作,0
2,22,bool,1,yx22,1,PT异常保护动作,0
2,25,bool,1,yx23,1,谐波保护动作,0
2,26,bool,1,yx24,1,同步脉冲异常保护动作,0
2,27,bool,1,yx25,1,变流器内部故障,0
2,26,bool,1,yx26,1,Trigger Digital Fault Record_Binary Input,0
2,27,bool,1,yx27,1,Trigger Digital Fault Record_Remote,0
2,28,bool,1,yx28,1,Trigger Digital Fault Record_Manual,0
2,29,bool,1,yx29,1,Trigger Digital Fault Record_AC-Contactor Closed,0
2,30,bool,1,yx30,1,Trigger Digital Fault Record_General Protection Operate,0
2,31,bool,1,yx31,1,Trigger Digital Fault Record Hold,0
2,28,bool,1,yx32,1,电容霍尔元件故障,0
2,33,bool,1,yx33,1,PCS is stopped by BMS,0
2,34,bool,1,yx34,1,Alarm_BMS Communication Failure,0
2,35,bool,1,yx35,1,Fuse OK,0
2,36,bool,1,yx36,1,Alarm_Mode Check Error,0
2,37,bool,1,yx37,1,Alarm_SCADA Communication Failure,0
2,38,bool,1,yx38,1,Frequent faults occurred in a short period of time.,0
2,29,bool,1,yx39,1,风机回路异常保护,0
2,40,bool,1,yx40,1,LVRT function switched,0
2,41,bool,1,yx41,1,Full Voltage Ride-Through Trigger,0
2,42,bool,1,yx42,1,Low Voltage Ride-Through Occurrence,0
2,43,bool,1,yx43,1,Overall Operation Signal_Link,0
2,44,bool,1,yx44,1,Startup Failure Alarm,0
2,45,bool,1,yx45,1,Master Link Communication Alarm,0
2,46,bool,1,yx46,1,spare,0
2,47,bool,1,yx47,1,spare,0
2,48,bool,1,yx48,1,spare,0
2,3000,bool,1,yx49,1,装置报警,0
2,3001,bool,1,yx50,1,装置闭锁,0
2,3002,bool,1,yx51,1,定值校验出错,0
2,3003,bool,1,yx52,1,定值项变化告警,0
2,3004,bool,1,yx53,1,定值超范围,0
2,3005,bool,1,yx54,1,板卡配置错误,0
2,3006,bool,1,yx55,1,采样异常,0
2,3007,bool,1,yx56,1,对时异常,0
2,3008,bool,1,yx57,1,版本错误报警,0
2,3009,bool,1,yx58,1,通信传动报警,0
2,3010,bool,1,yx59,1,出口传动测试报警,0
2,3011,bool,1,yx60,1,光耦电源异常,0
2,6000,bool,1,yx61,1,后台控制使能,0
2,6001,bool,1,yx62,1,BMS控制使能,0
2,6002,bool,1,yx63,1,CCU控制使能,0
2,6003,bool,1,yx64,1,启动命令,0
2,6004,bool,1,yx65,1,停机命令,0
