FunctionCode,Address,Type,Size,ParamName,Scale,Description,ModelSim
4,4097,u16,16,param1,1,故障总,0
4,4098,u16,16,param2,1,系统运行状态0正常1禁充2禁放3待机4停机,model=4|arg1=bmsdeviceId.BatteryStacks[0].OperationStatus|arg2=|arg3=|arg4=1000
4,4099,u16,16,param3,1,系统充放电状态,model=4|arg1=bmsdeviceId.BatteryStacks[0].ChargeDischargeStatus|arg2=|arg3=|arg4=1000
4,4100,u16,16,param4,1,一键并网状态0未开始1进行中2成功3失败,model=4|arg1=bmsdeviceId.BatteryStacks[0].GridConnectStatus|arg2=|arg3=|arg4=1000
4,4113,u16,16,param5,1,进入黑启动模式是否成功,model=4|arg1=bmsdeviceId.BatteryStacks[0].BlackStartEnterSuccess|arg2=|arg3=|arg4=1000
4,4114,u16,16,param6,1,当前黑启动状态3已进入4进入失败5已退出,model=4|arg1=bmsdeviceId.BatteryStacks[0].BlackStartStatus|arg2=|arg3=|arg4=1000
4,8233,u16,16,param7,1000,系统SOC,model=4|arg1=bmsdeviceId.BatteryStacks[0].SOC|arg2=|arg3=|arg4=1000
4,8234,u16,16,param8,1000,系统SOH,model=4|arg1=bmsdeviceId.BatteryStacks[0].SOH|arg2=|arg3=|arg4=1000
4,8272,u16,16,param9,1,最大允许放电功率,model=4|arg1=bmsdeviceId.BatteryStacks[0].MaxDischargePower|arg2=|arg3=|arg4=1000
4,8273,u16,16,param10,1,最大允许充电功率,model=4|arg1=bmsdeviceId.BatteryStacks[0].MaxChargePower|arg2=|arg3=|arg4=1000
6,12289,u16,16,param11,1,一键并网开关(写1并网写2离网),model=4|arg1=bmsdeviceId.BatteryStacks[0].GridConnectCommand|arg2=|arg3=|arg4=1000
6,12357,u16,16,param12,1,黑启动模式指令写1进入写0退出,model=4|arg1=bmsdeviceId.BatteryStacks[0].BlackStartCommand|arg2=|arg3=|arg4=1000
