FunctionCode,Address,Type,Size,ParamName,Scale,Description,ModelSim
4,107,u16,16,param1,1,系统故障总,0
4,170,u16,16,param2,1,黑启动模式状态（所有pcs黑启动模式为开，则为1，否则为0）,0
4,171,u16,16,param3,1,高压侧断路器状态（AA=开；EE=合）,0
4,17200,u16,16,param4,1,pcs1故障状态,0
4,17201,u16,16,param5,1,pcs2故障状态,0
4,17202,u16,16,param6,1,pcs3故障状态,0
4,17203,u16,16,param7,1,pcs4故障状态,0
4,17204,u16,16,param8,1,pcs1告警状态,0
4,17205,u16,16,param9,1,pcs2告警状态,0
4,17206,u16,16,param10,1,pcs3告警状态,0
4,17207,u16,16,param11,1,pcs4告警状态,0
4,17208,u16,16,param12,1,pcs1运行状态,0
4,17209,u16,16,param13,1,pcs2运行状态,0
4,17210,u16,16,param14,1,pcs3运行状态,0
4,17211,u16,16,param15,1,pcs4运行状态,0
4,17212,u16,16,param16,100,pcs1孤岛频率,50
4,17213,u16,16,param17,100,pcs2孤岛频率,50
4,17214,u16,16,param18,100,pcs3孤岛频率,50
4,17215,u16,16,param19,100,pcs4孤岛频率,50
4,17216,u16,16,param20,1,pcs1交流侧AB电压,0
4,17217,u16,16,param21,1,pcs1交流侧BC电压,0
4,17218,u16,16,param22,1,pcs1交流侧CA电压,0
4,17219,u16,16,param23,1,pcs2交流侧AB电压,0
4,17220,u16,16,param24,1,pcs2交流侧BC电压,0
4,17221,u16,16,param25,1,pcs2交流侧CA电压,0
4,17222,u16,16,param26,1,pcs3交流侧AB电压,0
4,17223,u16,16,param27,1,pcs3交流侧BC电压,0
4,17224,u16,16,param28,1,pcs3交流侧CA电压,0
4,17225,u16,16,param29,1,pcs4交流侧AB电压,0
4,17226,u16,16,param30,1,pcs4交流侧BC电压,0
4,17227,u16,16,param31,1,pcs4交流侧CA电压,0
4,17500,u16,16,param32,1,pcs5故障状态,0
4,17501,u16,16,param33,1,pcs6故障状态,0
4,17502,u16,16,param34,1,pcs7故障状态,0
4,17503,u16,16,param35,1,pcs8故障状态,0
4,17504,u16,16,param36,1,pcs5告警状态,0
4,17505,u16,16,param37,1,pcs6告警状态,0
4,17506,u16,16,param38,1,pcs7告警状态,0
