FunctionCode,Address,Type,Size,ParamName,Scale,Description,ModelSim
5,1000,bool,1,yx0,1,Rack簇过压三级保护,0
5,1001,bool,1,yx1,1,Rack簇欠压三级保护,0
5,1002,bool,1,yx2,1,Rack单体过压三级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Alarms.CellOverVoltageProtection|arg2=|arg3=|arg4=1000
5,1003,bool,1,yx3,1,Rack单体欠压三级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Alarms.CellUnderVoltageProtection|arg2=|arg3=|arg4=1000
5,1004,bool,1,yx4,1,Rack放电过流三级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Alarms.DischargeOvercurrentProtection|arg2=|arg3=|arg4=1000
5,1005,bool,1,yx5,1,Rack充电过流三级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Alarms.ChargeOvercurrentProtection|arg2=|arg3=|arg4=1000
5,1006,bool,1,yx6,1,Rack放电过温三级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Alarms.CellDischargeHighTempProtection|arg2=|arg3=|arg4=1000
5,1007,bool,1,yx7,1,Rack放电欠温三级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Alarms.CellDischargeLowTempProtection|arg2=|arg3=|arg4=1000
5,1008,bool,1,yx8,1,Rack充电过温三级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Alarms.CellChargeHighTempProtection|arg2=|arg3=|arg4=1000
5,1009,bool,1,yx9,1,Rack充电欠温三级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Alarms.CellChargeLowTempProtection|arg2=|arg3=|arg4=1000
5,1010,bool,1,yx10,1,Rack绝缘失效三级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Alarms.InsulationProtection|arg2=|arg3=|arg4=1000
5,1011,bool,1,yx11,1,Rack端子高温三级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Alarms.TerminalHighTempProtection|arg2=|arg3=|arg4=1000
5,1012,bool,1,yx12,1,Rack高压箱连接器高温三级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Alarms.HVBHighTempProtection|arg2=|arg3=|arg4=1000
5,1013,bool,1,yx13,1,Rack单体压差过高三级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Alarms.VoltageDifferenceProtection|arg2=|arg3=|arg4=1000
5,1014,bool,1,yx14,1,Rack温差过高三级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Alarms.TempDifferenceProtection|arg2=|arg3=|arg4=1000
5,1015,bool,1,yx15,1,RackSOC过低三级保护,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Alarms.LowSOCProtection|arg2=|arg3=|arg4=1000
5,1016,bool,1,yx16,1,Rack簇过压二级报警,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Alarms.OvervoltageAlarm|arg2=|arg3=|arg4=1000
5,1017,bool,1,yx17,1,Rack簇欠压二级报警,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Alarms.UndervoltageAlarm|arg2=|arg3=|arg4=1000
5,1018,bool,1,yx18,1,Rack单体过压二级报警,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Alarms.CellOverVoltageAlarm|arg2=|arg3=|arg4=1000
