FunctionCode,Address,Type,Size,ParamName,Scale,Description,ModelSim
6,1,u16,16,param1,1,一键并网开关 0x1: 启动; 启动一键并网后BMS会将断网的支路依次并联回主回路 0x2:一键分闸 启动一键分闸后BMS会把已经合闸的rack依次断开主回路,model=4|arg1=bmsdeviceId.BatteryStacks[0].GridConnectCommand|arg2=|arg3=|arg4=1
6,11,u16,16,param9,1,复位 1：复位,model=4|arg1=bmsdeviceId.BatteryStacks[0].FaultClearCommand|arg2=|arg3=|arg4=1
6,256,u16,16,param10,1,绝缘采样功能开关 1：使能 2：不使能,0
6,257,u16,16,param11,1,清除PCS控制失效 1：清除,0
6,258,u16,16,param12,1,最小并机簇数 当前并机rack数低于最少并机rack数时，系统状态为待机，请求PCS停止充放电；,12
6,12800,u16,16,param13,1,设置Rack1启用/停用（1-32簇） 1:启用 2:停用,0
6,12803,u16,16,param14,1,设置Rack1启用/停用2（32-40簇） 1:启用 2:停用,0
3,4097,u16,16,param15,1,一键并网开关状态 0x0：无操作 0x1: 启动 0x2: 成功 0x3: 结束,model=4|arg1=bmsdeviceId.BatteryStacks[0].GridConnectStatus|arg2=|arg3=|arg4=1
3,4098,u16,16,param16,1,Rack启用/停用状态1 Bit0 Rack1 启用/停用状态; (0: 停用， 1:启用 );Bit1 Rack2 启用/停用状态; (0: 停用， 1:启用 );Bit15 Rack 16 启用/停用状态; (0: 停用， 1:启用 ),0
3,4101,u16,16,param17,1,RACK 在线状态1 Bit0 Rack1在线状态; (0: 离线， 1: 在线);Bit1 Rack2在线状态; (0: 离线， 1: 在线);Bit15 Rack 16在线状态; (0: 离线， 1: 在线),0
3,4102,u16,16,param18,1,系统运行状态 0: 正常（系统可以放电， 可以充电）; -- 自检完成就绪，BMS转变状态为正常 1: 禁充（系统可以放电， 不能充电）; 2: 禁放（系统可以充电， 不能放…,model=4|arg1=bmsdeviceId.BatteryStacks[0].OperationStatus|arg2=|arg3=|arg4=1
3,4103,u16,16,param19,1,系统充放电状态 0x0: 静置; 0x1: 放电; 0x2: 充电,model=4|arg1=bmsdeviceId.BatteryStacks[0].ChargeDischargeStatus|arg2=|arg3=|arg4=1
3,4104,u16,16,param20,1,BAU报警状态 Bit0 BMS内部通讯故障;Bit1 PCS通讯故障报警;Bit2 PCS控制失效报警;Bit3 EMS通信故障报警;Bit4 Rack间压差过大报警;Bit12 bdu通信故障;Bit13 总控急停;Bit14 PCS停机信号;Bit15 从舱急停信号,0
3,4105,u16,16,param21,1,系统三级报警汇总（轻微） Bit0 总电压过压三级报警汇总;Bit1 总电压欠压三级报警汇总;Bit2 单体过压三级报警汇总;Bit3 单体欠压三级报警汇总;Bit4 放电电流过大三级报警汇总;Bit5 充电电流过大三级报警汇总;Bit6 放电电池过温三级报警汇总;Bit7 放电电池欠温三级报警汇总;Bit8 充电电池过温三级报警汇总;Bit9 充电电池欠温三级报警汇总;Bit10 绝缘阻值过低三级报警汇总;Bit11 极柱温度过高三级报警汇总;Bit12 高压箱连接器温度过高三级报警汇总;Bit13 单体压差过高三级报警汇总;Bit14 单体温差过高三级报警汇总;Bit15 SOC低三级报警汇总,model=4|arg1=bmsdeviceId.BatteryStacks[0].BMSFaultSummary|arg2=|arg3=|arg4=1
3,4106,u16,16,param22,1,系统二级报警汇总 Bit0 总电压过压二级报警汇总;Bit1 总电压欠压二级报警汇总;Bit2 单体过压二级报警汇总;Bit3 单体欠压二级报警汇总;Bit4 放电电流过大二级报警汇总;Bit5 充电电流过大二级报警汇总;Bit6 放电电池过温二级报警汇总;Bit7 放电电池欠温二级报警汇总;Bit8 充电电池过温二级报警汇总;Bit9 充电电池欠温二级报警汇总;Bit10 绝缘阻值过低二级报警汇总;Bit11 极柱温度过高二级报警汇总;Bit12 高压箱连接器温度过高二级报警汇总;Bit13 单体压差过高二级报警汇总;Bit14 单体温差过高二级报警汇总;Bit15 SOC低二级报警汇总,model=4|arg1=bmsdeviceId.BatteryStacks[0].BMSAlarmSummary|arg2=|arg3=|arg4=1
3,4107,u16,16,param23,1,系统一级报警汇总（严重） Bit0 总电压过压一级报警汇总;Bit1 总电压欠压一级报警汇总;Bit2 单体过压一级报警汇总;Bit3 单体欠压一级报警汇总;Bit4 放电电流过大一级报警汇总;Bit5 充电电流过大一级报警汇总;Bit6 放电电池过温一级报警汇总;Bit7 放电电池欠温一级报警汇总;Bit8 充电电池过温一级报警汇总;Bit9 充电电池欠温一级报警汇总;Bit10 绝缘阻值过低一级报警汇总;Bit11 极柱温度过高一级报警汇总;Bit12 高压箱连接器温度过高一级报警汇总;Bit13 单体压差过高一级报警汇总;Bit14 单体温差过高一级报警汇总;Bit15 SOC低一级报警汇总,model=4|arg1=bmsdeviceId.BatteryStacks[0].BMSProtectionSummary|arg2=|arg3=|arg4=1
3,4108,u16,16,param24,10,系统总电压,model=4|arg1=bmsdeviceId.BatteryStacks[0].TotalVoltage|arg2=|arg3=|arg4=10
3,4109,int16,16,param25,10,系统总电流 充电电流为负值， 放电为正,model=4|arg1=bmsdeviceId.BatteryStacks[0].Current|arg2=|arg3=|arg4=10
3,4110,u16,16,param26,1000,系统SOC 0～1000,model=4|arg1=bmsdeviceId.BatteryStacks[0].SOC|arg2=|arg3=|arg4=1000
3,4111,u16,16,param27,1000,系统SOH 0～1000,model=4|arg1=bmsdeviceId.BatteryStacks[0].SOH|arg2=|arg3=|arg4=1000
3,4112,u16,16,param28,1,系统绝缘值,model=4|arg1=bmsdeviceId.BatteryStacks[0].InsulationPlus|arg2=|arg3=|arg4=1
3,4113,u16,16,param29,1,系统可充电量,model=4|arg1=bmsdeviceId.BatteryStacks[0].AvailableChargeCapacity|arg2=|arg3=|arg4=1
3,4114,u16,16,param30,1,系统可放电量,model=4|arg1=bmsdeviceId.BatteryStacks[0].AvailableDischargeCapacity|arg2=|arg3=|arg4=1
3,4115,u16,16,param31,10,系统允许最大充电电流,model=4|arg1=bmsdeviceId.BatteryStacks[0].MaxChargeCurrent|arg2=|arg3=|arg4=10
