FunctionCode,Address,Type,Size,ParamName,Scale,Description,ModelSim
4,16,u16,16,rack1,1,功能安全告警详细故障,0
4,17,u16,16,rack2,1,主控对外故障报警,0
4,18,u16,16,rack3,1,对外停机报警,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Alarms.RackProtectionSummary1|arg2=|arg3=|arg4=1
4,19,u16,16,rack4,1,对外停机报警2,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Alarms.RackProtectionSummary2|arg2=|arg3=|arg4=1
4,20,u16,16,rack5,1,对外停机报警3,0
4,21,u16,16,rack6,1,功能安全告警详细故障2,0
4,53,u16,16,rack7,1,对外报警,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Alarms.RackAlarmSummary1|arg2=|arg3=|arg4=1
4,54,u16,16,rack8,1,对外报警2,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Alarms.RackAlarmSummary2|arg2=|arg3=|arg4=1
4,55,u16,16,rack9,1,新增告警,0
4,88,u16,16,rack10,1,对外预警,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Alarms.RackFaultSummary1|arg2=|arg3=|arg4=1
4,89,u16,16,rack11,1,对外预警2,model=4|arg1=bmsdeviceId.BatteryStacks[0].Cluseter[rackId].Alarms.RackFaultSummary2|arg2=|arg3=|arg4=1
4,90,u16,16,rack12,1,新增预警,0
4,123,u16,16,rack13,1,DO状态,0
4,124,u16,16,rack14,1,DI状态,0
4,125,u16,16,rack15,1,从控故障状态,0
4,158,u16,16,rack16,1,所有从控的通信故障信息高33-48位,0
4,159,u16,16,rack17,1,所有从控的通信故障信息高16位,0
4,160,u16,16,rack18,1,所有从控的通信故障信息低16位,0
4,161,u16,16,rack19,1,所有从控的概要故障信息33-48,0
4,162,u16,16,rack20,1,所有从控的概要故障信息17-32,0
4,163,u16,16,rack21,1,所有从控的概要故障信息1-16,0
4,164,u16,16,rack22,1,主控软件项目编号,0
4,165,u16,16,rack23,1,主控软件主版本号,0
4,166,u16,16,rack24,1,主控软件子版本号,0
4,167,u16,16,rack25,1,主控软件修正版本号,0
