FunctionCode,Address,Type,Size,ParamName,Scale,Description,ModelSim
4,4097,u16,16,param1,1,对外故障状态,0
4,4098,u16,16,param2,1,运行状态,model=4|arg1=bmsdeviceId.BatteryStacks[0].OperationStatus|arg2=|arg3=|arg4=1
4,4099,u16,16,param3,1,充放电状态,model=4|arg1=bmsdeviceId.BatteryStacks[0].ChargeDischargeStatus|arg2=|arg3=|arg4=1
4,4100,u16,16,param4,1,一键并网状态,model=4|arg1=bmsdeviceId.BatteryStacks[0].GridConnectStatus|arg2=|arg3=|arg4=1
4,4101,u16,16,param5,1,Rack使能状态高16位,0
4,4102,u16,16,param6,1,Rack使能状态低16位,0
4,4103,u16,16,param7,1,Rack使能状态33~48簇,0
4,4105,u16,16,param8,1,并网状态高16位,0
4,4106,u16,16,param9,1,并网状态低16位,0
4,4107,u16,16,param10,1,并网状态33~48簇,0
4,4109,u16,16,param11,1,项目版本号,0
4,4110,u16,16,param12,1,主版本号,1
4,4111,u16,16,param13,1,子版本号,0
4,4112,u16,16,param14,1,修正版本号,0
4,4113,u16,16,param15,1,进入黑启动模式是否成功,model=4|arg1=bmsdeviceId.BatteryStacks[0].BlackStartEnterSuccess|arg2=|arg3=|arg4=1
4,4114,u16,16,param16,1,当前黑启动状态,model=4|arg1=bmsdeviceId.BatteryStacks[0].BlackStartStatus|arg2=|arg3=|arg4=1
4,4115,u16,16,param17,1,充放电截止状态1,0
4,4116,u16,16,param18,1,充放电截止状态2,0
4,4117,u16,16,param19,1,对外三级报警1(主控),model=4|arg1=bmsdeviceId.BatteryStacks[0].BMSFaultSummary|arg2=|arg3=|arg4=1
4,4118,u16,16,param20,1,对外三级报警2(主控),model=4|arg1=bmsdeviceId.BatteryStacks[0].BMSFaultSummary2|arg2=|arg3=|arg4=1
4,4119,u16,16,param21,1,对外三级报警3(主控),model=4|arg1=bmsdeviceId.BatteryStacks[0].BMSFaultSummary3|arg2=|arg3=|arg4=1
4,4152,u16,16,param22,1,对外三级报警1(总控),model=4|arg1=bmsdeviceId.BatteryStacks[0].BMSFaultSummaryBAU|arg2=|arg3=|arg4=1
4,4185,u16,16,param23,1,对外二级报警1(主控),model=4|arg1=bmsdeviceId.BatteryStacks[0].BMSAlarmSummary|arg2=|arg3=|arg4=1
4,4186,u16,16,param24,1,对外二级报警2(主控),model=4|arg1=bmsdeviceId.BatteryStacks[0].BMSAlarmSummary2|arg2=|arg3=|arg4=1
4,4187,u16,16,param25,1,对外二级报警3(主控),model=4|arg1=bmsdeviceId.BatteryStacks[0].BMSAlarmSummary3|arg2=|arg3=|arg4=1
4,4220,u16,16,param26,1,对外二级报警1(总控),model=4|arg1=bmsdeviceId.BatteryStacks[0].BMSAlarmSummaryBAU|arg2=|arg3=|arg4=1
4,4254,u16,16,param27,1,对外一级报警1(主控),model=4|arg1=bmsdeviceId.BatteryStacks[0].BMSProtectionSummary|arg2=|arg3=|arg4=1
4,4255,u16,16,param28,1,对外一级报警2(主控),model=4|arg1=bmsdeviceId.BatteryStacks[0].BMSProtectionSummary2|arg2=|arg3=|arg4=1
4,4256,u16,16,param29,1,对外一级报警3(主控),model=4|arg1=bmsdeviceId.BatteryStacks[0].BMSProtectionSummary3|arg2=|arg3=|arg4=1
4,4289,u16,16,param30,1,对外一级报警1(总控),model=4|arg1=bmsdeviceId.BatteryStacks[0].BMSProtectionSummaryBAU|arg2=|arg3=|arg4=1
4,4290,u16,16,param31,1,掉簇相关故障,0
4,4291,u16,16,param32,1,堆SOC保养请求状态,0
4,4322,u16,16,param33,1,主控通信故障低16位,0
4,4323,u16,16,param34,1,主控通信故障高16位,0
4,4324,u16,16,param35,1,主控通信故障33~48簇,0
