FunctionCode,Address,Type,Size,ParamName,Scale,Description,ModelSim
5,1000,bool,1,yx0,1,高压断路器开合,model=4|arg1=emuDeviceId.Emu.PowerOnOff|arg2=|arg3=|arg4=1000
5,1001,bool,1,yx1,1,低压断路器开合,0
5,1002,bool,1,yx2,1,PCS1黑启动开启,model=4|arg1=emuDeviceId.PcsList[0].BlackStartEnabled|arg2=|arg3=|arg4=1000
5,1003,bool,1,yx3,1,单元1PCS启停,model=4|arg1=emuDeviceId.PcsList[0].pcsOnOffSwitch|arg2=|arg3=|arg4=1000
5,1004,bool,1,yx4,1,PCS2黑启动开启,model=4|arg1=emuDeviceId.PcsList[1].BlackStartEnabled|arg2=|arg3=|arg4=1000
5,1005,bool,1,yx5,1,单元2PCS启停,model=4|arg1=emuDeviceId.PcsList[1].pcsOnOffSwitch|arg2=|arg3=|arg4=1000
4,10000,u16,16,yc0,1,状态位1,0
4,10001,u16,16,yc1,1,状态位1,0
4,10002,u16,16,yc2,1,状态位1,0
4,10003,u16,16,yc3,1,状态位1,0
4,10004,u16,16,yc4,1,状态位1,0
4,10005,u16,16,yc5,1,状态位1,0
4,10006,u16,16,yc6,1,状态位1,0
4,10007,u16,16,yc7,1,状态位1,0
4,10008,u16,16,yc8,1,状态位1,0
4,10009,u16,16,yc9,1,状态位1,0
4,10010,u16,16,yc10,1,故障位1,0
4,10011,u16,16,yc11,1,故障位2,0
4,10012,u16,16,yc12,1,故障位3,0
4,10013,u16,16,yc13,1,故障位4,0
4,10014,u16,16,yc14,1,故障位5,0
4,10015,u16,16,yc15,1,故障位6,0
4,10016,u16,16,yc16,1,故障位7,0
4,10017,u16,16,yc17,1,故障位8,0
4,10018,u16,16,yc18,1,故障位9,0
4,10019,u16,16,yc19,1,故障位10,0
4,10020,u16,16,yc20,10,单元1交流侧AB电压,model=4|arg1=emuDeviceId.PcsList[0].LineVoltageAB|arg2=|arg3=|arg4=1000
4,10021,u16,16,yc21,10,单元1交流侧BC电压,model=4|arg1=emuDeviceId.PcsList[0].LineVoltageBC|arg2=|arg3=|arg4=1000
4,10022,u16,16,yc22,10,单元1交流侧CA电压,model=4|arg1=emuDeviceId.PcsList[0].LineVoltageCA|arg2=|arg3=|arg4=1000
4,10023,u32,32,yc23,1000,单元1交流侧频率,model=4|arg1=emuDeviceId.PcsList[0].Frequency|arg2=|arg3=|arg4=1000
4,10025,int16,16,yc24,10,单元1交流侧A相电流,model=4|arg1=emuDeviceId.PcsList[0].PhaseACurrent|arg2=|arg3=|arg4=1000
4,10026,int16,16,yc25,10,单元1交流侧B相电流,model=4|arg1=emuDeviceId.PcsList[0].PhaseBCurrent|arg2=|arg3=|arg4=1000
4,10027,int16,16,yc26,10,单元1交流侧C相电流,model=4|arg1=emuDeviceId.PcsList[0].PhaseCCurrent|arg2=|arg3=|arg4=1000
4,10028,int32,32,yc27,10,单元1交流侧有功功率,model=4|arg1=emuDeviceId.PcsList[0].ActivePower|arg2=|arg3=|arg4=1000
4,10030,int32,32,yc28,10,单元1交流侧无功功率,model=4|arg1=emuDeviceId.PcsList[0].ReactivePower|arg2=|arg3=|arg4=1000
4,10032,int32,32,yc29,10,单元1交流侧视在功率,model=4|arg1=emuDeviceId.PcsList[0].ApparentPower|arg2=|arg3=|arg4=1000
4,10034,int16,16,yc30,1000,单元1功率因数,model=4|arg1=emuDeviceId.PcsList[0].PowerFactor|arg2=|arg3=|arg4=1000
4,10035,int16,16,yc31,10,单元1直流侧电压,model=4|arg1=emuDeviceId.PcsList[0].BatteryVoltage|arg2=|arg3=|arg4=1000
4,10036,int16,16,yc32,10,单元1直流侧电流,model=4|arg1=emuDeviceId.PcsList[0].BatteryCurrent|arg2=|arg3=|arg4=1000
4,10037,int32,32,yc33,10,单元1直流侧功率,model=4|arg1=emuDeviceId.PcsList[0].BatteryPower|arg2=|arg3=|arg4=1000
4,10039,int16,16,yc34,10,单元1 IGBT温度,model=4|arg1=emuDeviceId.PcsList[0].IGBTTemp|arg2=|arg3=|arg4=1000
4,10040,int16,16,yc35,10,单元1 舱内温度,model=4|arg1=emuDeviceId.PcsList[0].ControlCabinetTemp|arg2=|arg3=|arg4=1000
4,10041,u16,16,yc36,10,单元1最大允许充电功率,model=4|arg1=emuDeviceId.PcsList[0].ChargePowerLimit|arg2=|arg3=|arg4=1000
4,10042,u16,16,yc37,10,单元1最大允许放电功率,model=4|arg1=emuDeviceId.PcsList[0].DischargePowerLimit|arg2=|arg3=|arg4=1000
4,10043,u16,16,yc38,10,单元1最大感性无功,model=4|arg1=emuDeviceId.PcsList[0].PCSRatePower|arg2=|arg3=|arg4=1000
4,10044,u16,16,yc39,10,单元1最大容性无功,model=4|arg1=emuDeviceId.PcsList[0].PCSRatePower|arg2=|arg3=|arg4=1000
4,10045,u32,32,yc40,10,单元1总充电量,model=4|arg1=emuDeviceId.PcsList[0].TotalChargeEnergy|arg2=|arg3=|arg4=1000
4,10047,u32,32,yc41,10,单元1总放电量,model=4|arg1=emuDeviceId.PcsList[0].TotalDischargeEnergy|arg2=|arg3=|arg4=1000
4,10049,u32,32,yc42,10,单元1当日充电量,model=4|arg1=emuDeviceId.PcsList[0].DailyChargeEnergy|arg2=|arg3=|arg4=1000
4,10051,u32,32,yc43,10,单元1当日放电量,model=4|arg1=emuDeviceId.PcsList[0].DailyDischargeEnergy|arg2=|arg3=|arg4=1000
4,10053,u16,16,yc44,1,单元1运行状态,model=4|arg1=emuDeviceId.PcsList[0].OperationStatus|arg2=|arg3=|arg4=1000
4,10054,u16,16,yc45,1,单元1当前告警,0
4,10055,u16,16,yc46,1,单元1当前故障,0
4,10056,u16,16,yc47,10,单元2交流侧AB电压,model=4|arg1=emuDeviceId.PcsList[1].LineVoltageAB|arg2=|arg3=|arg4=1000
4,10057,u16,16,yc48,10,单元2交流侧BC电压,model=4|arg1=emuDeviceId.PcsList[1].LineVoltageBC|arg2=|arg3=|arg4=1000
4,10058,u16,16,yc49,10,单元2交流侧CA电压,model=4|arg1=emuDeviceId.PcsList[1].LineVoltageCA|arg2=|arg3=|arg4=1000
4,10059,u32,32,yc50,1000,单元2交流侧频率,model=4|arg1=emuDeviceId.PcsList[1].Frequency|arg2=|arg3=|arg4=1000
4,10061,int16,16,yc51,10,单元2交流侧A相电流,model=4|arg1=emuDeviceId.PcsList[1].PhaseACurrent|arg2=|arg3=|arg4=1000
4,10062,int16,16,yc52,10,单元2交流侧B相电流,model=4|arg1=emuDeviceId.PcsList[1].PhaseBCurrent|arg2=|arg3=|arg4=1000
4,10063,int16,16,yc53,10,单元2交流侧C相电流,model=4|arg1=emuDeviceId.PcsList[1].PhaseCCurrent|arg2=|arg3=|arg4=1000
4,10064,int32,32,yc54,10,单元2交流侧有功功率,model=4|arg1=emuDeviceId.PcsList[1].ActivePower|arg2=|arg3=|arg4=1000
4,10066,int32,32,yc55,10,单元2交流侧无功功率,model=4|arg1=emuDeviceId.PcsList[1].ReactivePower|arg2=|arg3=|arg4=1000
4,10068,int32,32,yc56,10,单元2交流侧视在功率,model=4|arg1=emuDeviceId.PcsList[1].ApparentPower|arg2=|arg3=|arg4=1000
4,10070,int16,16,yc57,1000,单元2功率因数,model=4|arg1=emuDeviceId.PcsList[1].PowerFactor|arg2=|arg3=|arg4=1000
4,10071,int16,16,yc58,10,单元2直流侧电压,model=4|arg1=emuDeviceId.PcsList[1].BatteryVoltage|arg2=|arg3=|arg4=1000
4,10072,int16,16,yc59,10,单元2直流侧电流,model=4|arg1=emuDeviceId.PcsList[1].BatteryCurrent|arg2=|arg3=|arg4=1000
4,10073,int32,32,yc60,10,单元2直流侧功率,model=4|arg1=emuDeviceId.PcsList[1].BatteryPower|arg2=|arg3=|arg4=1000
4,10075,int16,16,yc61,10,单元2 IGBT温度,model=4|arg1=emuDeviceId.PcsList[1].IGBTTemp|arg2=|arg3=|arg4=1000
4,10076,int16,16,yc62,10,单元2 舱内温度,model=4|arg1=emuDeviceId.PcsList[1].ControlCabinetTemp|arg2=|arg3=|arg4=1000
4,10077,u16,16,yc63,10,单元2最大允许充电功率,model=4|arg1=emuDeviceId.PcsList[1].ChargePowerLimit|arg2=|arg3=|arg4=1000
4,10078,u16,16,yc64,10,单元2最大允许放电功率,model=4|arg1=emuDeviceId.PcsList[1].DischargePowerLimit|arg2=|arg3=|arg4=1000
4,10079,u16,16,yc65,10,单元2最大感性无功,model=4|arg1=emuDeviceId.PcsList[1].PCSRatePower|arg2=|arg3=|arg4=1000
4,10080,u16,16,yc66,10,单元2最大容性无功,model=4|arg1=emuDeviceId.PcsList[1].PCSRatePower|arg2=|arg3=|arg4=1000
4,10081,u32,32,yc67,10,单元2总充电量,model=4|arg1=emuDeviceId.PcsList[1].TotalChargeEnergy|arg2=|arg3=|arg4=1000
4,10083,u32,32,yc68,10,单元2总放电量,model=4|arg1=emuDeviceId.PcsList[1].TotalDischargeEnergy|arg2=|arg3=|arg4=1000
4,10085,u32,32,yc69,10,单元2当日充电量,model=4|arg1=emuDeviceId.PcsList[1].DailyChargeEnergy|arg2=|arg3=|arg4=1000
4,10087,u32,32,yc70,10,单元2当日放电量,model=4|arg1=emuDeviceId.PcsList[1].DailyDischargeEnergy|arg2=|arg3=|arg4=1000
4,10089,u16,16,yc71,1,单元2运行状态,model=4|arg1=emuDeviceId.PcsList[1].OperationStatus|arg2=|arg3=|arg4=1000
4,10090,u16,16,yc72,1,单元2当前告警,0
4,10091,u16,16,yc73,1,单元2当前故障,0
4,10092,u16,16,yc74,1,PCS1孤岛电压反馈V,model=4|arg1=emuDeviceId.PcsList[0].IslandVoltageFeedback|arg2=|arg3=|arg4=1000
4,10093,u16,16,yc75,1,PCS2孤岛电压反馈V,model=4|arg1=emuDeviceId.PcsList[1].IslandVoltageFeedback|arg2=|arg3=|arg4=1000
4,10094,int32,32,yc76,10,单元总有功功率,model=4|arg1=emuDeviceId.Emu.OutputActivePower|arg2=|arg3=|arg4=1000
4,10096,int32,32,yc77,10,单元总无功功率,model=4|arg1=emuDeviceId.Emu.OutputReactivePower|arg2=|arg3=|arg4=1000
6,40000,int16,16,yt0,10,单元1有功功率设置值,model=4|arg1=emuDeviceId.PcsList[0].PCSActivePowerSetting|arg2=|arg3=|arg4=1000
6,40001,int16,16,yt1,10,单元1无功设置值,model=4|arg1=emuDeviceId.PcsList[0].PCSReactivePowerSetting|arg2=|arg3=|arg4=1000
6,40002,int16,16,yt2,1000,单元1功率因数设置值,0
6,40003,u16,16,yt3,1,PCS1孤岛电压设定V,model=4|arg1=emuDeviceId.PcsList[0].IslandVoltageSetting|arg2=|arg3=|arg4=1000
6,40004,int16,16,yt4,10,单元2有功功率设置值,model=4|arg1=emuDeviceId.PcsList[1].PCSActivePowerSetting|arg2=|arg3=|arg4=1000
6,40005,int16,16,yt5,10,单元2无功设置值,model=4|arg1=emuDeviceId.PcsList[1].PCSReactivePowerSetting|arg2=|arg3=|arg4=1000
6,40006,int16,16,yt6,1000,单元2功率因数设置值,0
6,40007,u16,16,yt7,1,PCS2孤岛电压设定V,model=4|arg1=emuDeviceId.PcsList[1].IslandVoltageSetting|arg2=|arg3=|arg4=1000
