FunctionCode,Address,Type,Size,ParamName,Scale,Description,ModelSim
4,2600,int16,16,yc0,1,10MW PCS1-模块1电池电压,model=4|arg1=emu1.PcsList[0].BatteryVoltage|arg2=|arg3=|arg4=1
4,2601,int16,16,yc1,1,10MW PCS1-模块1电池电流,model=4|arg1=emu1.PcsList[0].BatteryCurrent|arg2=|arg3=|arg4=1
4,2602,int16,16,yc2,1,10MW PCS1-模块1母线电压,0
4,2603,u16,16,yc3,1,10MW PCS1-模块1电感电流 R,model=4|arg1=emu1.PcsList[0].PhaseACurrent|arg2=|arg3=|arg4=1
4,2604,u16,16,yc4,1,10MW PCS1-模块1电感电流 S,model=4|arg1=emu1.PcsList[0].PhaseBCurrent|arg2=|arg3=|arg4=1
4,2605,u16,16,yc5,1,10MW PCS1-模块1电感电流 T,model=4|arg1=emu1.PcsList[0].PhaseCCurrent|arg2=|arg3=|arg4=1
4,2606,int16,16,yc6,1,10MW PCS1-模块2电池电压,model=4|arg1=emu1.PcsList[1].BatteryVoltage|arg2=|arg3=|arg4=1
4,2607,int16,16,yc7,1,10MW PCS1-模块2电池电流,model=4|arg1=emu1.PcsList[1].BatteryCurrent|arg2=|arg3=|arg4=1
4,2608,int16,16,yc8,1,10MW PCS1-模块2母线电压,0
4,2609,u16,16,yc9,1,10MW PCS1-模块2电感电流 R,model=4|arg1=emu1.PcsList[1].PhaseACurrent|arg2=|arg3=|arg4=1
4,2610,u16,16,yc10,1,10MW PCS1-模块2电感电流 S,model=4|arg1=emu1.PcsList[1].PhaseBCurrent|arg2=|arg3=|arg4=1
4,2611,u16,16,yc11,1,10MW PCS1-模块2电感电流 T,model=4|arg1=emu1.PcsList[1].PhaseCCurrent|arg2=|arg3=|arg4=1
4,2612,u16,16,yc12,1,10MW PCS1-交流电流 R,model=sum|arg1=emu1.PcsList[0].PhaseACurrent|arg2=emu1.PcsList[1].PhaseACurrent|arg3=|arg4=1
4,2613,u16,16,yc13,1,10MW PCS1-交流电流 S,model=sum|arg1=emu1.PcsList[0].PhaseBCurrent|arg2=emu1.PcsList[1].PhaseBCurrent|arg3=|arg4=1
4,2614,u16,16,yc14,1,10MW PCS1-交流电流 T,model=sum|arg1=emu1.PcsList[0].PhaseCCurrent|arg2=emu1.PcsList[1].PhaseCCurrent|arg3=|arg4=1
4,2615,int16,16,yc15,1,10MW PCS1-电池总功率,model=sum|arg1=emu1.PcsList[0].BatteryPower|arg2=emu1.PcsList[1].BatteryPower|arg3=|arg4=1
4,2616,int16,16,yc16,1,10MW PCS1-电池1 功率,model=4|arg1=emu1.PcsList[0].BatteryPower|arg2=|arg3=|arg4=1
4,2617,int16,16,yc17,1,10MW PCS1-电池2 功率,model=4|arg1=emu1.PcsList[1].BatteryPower|arg2=|arg3=|arg4=1
4,2618,int16,16,yc18,1,10MW PCS1-电网有功功率,model=4|arg1=emu1.Emu.OutputActivePower|arg2=|arg3=|arg4=1
4,2619,int16,16,yc19,1,10MW PCS1-电网无功功率,model=4|arg1=emu1.Emu.OutputReactivePower|arg2=|arg3=|arg4=1
4,2620,u16,16,yc20,1,10MW PCS1-电网电压 RS,model=4|arg1=emu1.PcsList[0].LineVoltageAB|arg2=|arg3=|arg4=1
4,2621,u16,16,yc21,1,10MW PCS1-电网电压 ST,model=4|arg1=emu1.PcsList[0].LineVoltageBC|arg2=|arg3=|arg4=1
4,2622,u16,16,yc22,1,10MW PCS1-电网电压 TR,model=4|arg1=emu1.PcsList[0].LineVoltageCA|arg2=|arg3=|arg4=1
4,2623,int16,16,yc23,10,10MW PCS1-PCS 过温降载NTC,model=4|arg1=emu1.PcsList[0].IGBTMaxTemp|arg2=|arg3=|arg4=10
4,2624,u16,16,yc24,1,10MW PCS1-PCS 可用容量,model=4|arg1=emu1.PcsList[0].AvailableCapacity|arg2=|arg3=|arg4=1
4,2625,u16,16,yc25,1,10MW PCS1-PCS 额定容量,model=4|arg1=emu1.PcsList[0].PCSRatePower|arg2=|arg3=|arg4=1
4,2642,u16,16,yc42,1,10MW PCS1-模块1总放电容量高16位,0
4,2643,u16,16,yc43,1,10MW PCS1-模块1总放电容量低16位,model=4|arg1=emu1.PcsList[0].TotalDischargeEnergy|arg2=|arg3=|arg4=1
4,2644,u16,16,yc44,1,10MW PCS1-模块1总充电容量高16位,0
4,2645,u16,16,yc45,1,10MW PCS1-模块1总充电容量低16位,model=4|arg1=emu1.PcsList[0].TotalChargeEnergy|arg2=|arg3=|arg4=1
4,2646,u16,16,yc46,1,10MW PCS1-模块1总放电循环时间高16位,0
4,2647,u16,16,yc47,1,10MW PCS1-模块1总放电循环时间低16位,0
4,2648,u16,16,yc48,1,10MW PCS1-模块1总充电循环时间高16位,0
4,2649,u16,16,yc49,1,10MW PCS1-模块1总充电循环时间低16位,0
4,2652,u16,16,yc52,1,10MW PCS1-模块1总运行时间高16位,0
4,2653,u16,16,yc53,1,10MW PCS1-模块1总运行时间低16位,0
4,2654,u16,16,yc54,1,10MW PCS1-模块1统计年份,0
4,2655,u16,16,yc55,1,10MW PCS1-模块1统计月份,0
4,2656,u16,16,yc56,1,10MW PCS1-模块1统计日,0
4,2657,u16,16,yc57,1,10MW PCS1-模块1统计小时,0
4,2674,u16,16,yc74,1,10MW PCS1-模块2总放电容量高16位,0
4,2675,u16,16,yc75,1,10MW PCS1-模块2总放电容量低16位,model=4|arg1=emu1.PcsList[1].TotalDischargeEnergy|arg2=|arg3=|arg4=1
4,2676,u16,16,yc76,1,10MW PCS1-模块2总充电容量高16位,0
4,2677,u16,16,yc77,1,10MW PCS1-模块2总充电容量低16位,model=4|arg1=emu1.PcsList[1].TotalChargeEnergy|arg2=|arg3=|arg4=1
4,2678,u16,16,yc78,1,10MW PCS1-模块2总放电循环时间高16位,0
4,2679,u16,16,yc79,1,10MW PCS1-模块2总放电循环时间低16位,0
4,2680,u16,16,yc80,1,10MW PCS1-模块2总充电循环时间高16位,0
4,2681,u16,16,yc81,1,10MW PCS1-模块2总充电循环时间低16位,0
4,2684,u16,16,yc84,1,10MW PCS1-模块2总运行时间高16位,0
4,2685,u16,16,yc85,1,10MW PCS1-模块2总运行时间低16位,0
4,2686,u16,16,yc86,1,10MW PCS1-模块2统计年份,0
4,2687,u16,16,yc87,1,10MW PCS1-模块2统计月份,0
4,2688,u16,16,yc88,1,10MW PCS1-模块2统计日,0
4,2689,u16,16,yc89,1,10MW PCS1-模块2统计小时,0
4,2706,u16,16,yc106,1,10MW PCS1-交流总放电有功电量高16位,0
4,2707,u16,16,yc107,1,10MW PCS1-交流总放电有功电量低16位,model=4|arg1=emu1.PcsList[0].TotalDischargeEnergy|arg2=|arg3=|arg4=1
4,2708,u16,16,yc108,1,10MW PCS1-交流总充电有功电量高16位,0
4,2709,u16,16,yc109,1,10MW PCS1-交流总充电有功电量低16位,model=4|arg1=emu1.PcsList[0].TotalChargeEnergy|arg2=|arg3=|arg4=1
4,2710,u16,16,yc110,1,10MW PCS1-交流总放电有功循环时间高16位,0
4,2711,u16,16,yc111,1,10MW PCS1-交流总放电有功循环时间低16位,0
4,2712,u16,16,yc112,1,10MW PCS1-交流总充电有功循环时间高16位,0
4,2713,u16,16,yc113,1,10MW PCS1-交流总充电有功循环时间低16位,0
4,2730,u16,16,yc130,1,10MW PCS1-交流总容性无功电量高16位,0
4,2731,u16,16,yc131,1,10MW PCS1-交流总容性无功电量低16位,0
4,2732,u16,16,yc132,1,10MW PCS1-交流总电感无功电量高16位,0
4,2733,u16,16,yc133,1,10MW PCS1-交流总电感无功电量低16位,0
4,2734,u16,16,yc134,1,10MW PCS1-交流总容性无功循环时间高16位,0
4,2735,u16,16,yc135,1,10MW PCS1-交流总容性无功循环时间低16位,0
4,2736,u16,16,yc136,1,10MW PCS1-交流总电感无功循环时间高16位,0
4,2737,u16,16,yc137,1,10MW PCS1-交流总电感无功循环时间低16位,0
4,2740,u16,16,yc140,1,10MW PCS1-交流总运行时间高16位,0
4,2741,u16,16,yc141,1,10MW PCS1-交流总运行时间低16位,0
4,2742,u16,16,yc142,1,10MW PCS1-交流统计年份,0
4,2743,u16,16,yc143,1,10MW PCS1-交流统计月份,0
4,2744,u16,16,yc144,1,10MW PCS1-交流统计日期,0
4,2745,u16,16,yc145,1,10MW PCS1-交流统计小时,0
4,2746,u16,16,yc146,1,10MW PCS1-软件版本字1,0
4,2747,u16,16,yc147,1,10MW PCS1-软件版本字2,0
4,2748,u16,16,yc148,1,10MW PCS1-软件版本字3,0
4,2749,u16,16,yc149,1,10MW PCS1-软件版本字4,0
4,2750,u16,16,yc150,1,10MW PCS1-软件版本字5,0
4,2751,u16,16,yc151,1,10MW PCS1-软件版本字6,0
4,2752,u16,16,yc152,1,10MW PCS1-控制器版本字1,0
4,2753,u16,16,yc153,1,10MW PCS1-控制器版本字2,0
4,2754,u16,16,yc154,1,10MW PCS1-控制器版本字3,0
4,2755,u16,16,yc155,1,10MW PCS1-控制器版本字4,0
4,2756,u16,16,yc156,1,10MW PCS1-控制器版本字5,0
4,2757,u16,16,yc157,1,10MW PCS1-SDSP版本字1,0
4,2758,u16,16,yc158,1,10MW PCS1-SDSP版本字2,0
4,2759,u16,16,yc159,1,10MW PCS1-SDSP版本字3,0
4,2760,u16,16,yc160,1,10MW PCS1-SDSP版本字4,0
4,2761,u16,16,yc161,1,10MW PCS1-SDSP版本字5,0
4,2762,u16,16,yc162,1,10MW PCS1-SFPGA版本字1,0
4,2763,u16,16,yc163,1,10MW PCS1-SFPGA版本字2,0
4,2764,u16,16,yc164,1,10MW PCS1-SFPGA版本字3,0
4,2765,u16,16,yc165,1,10MW PCS1-CDSP版本 1,0
4,2766,u16,16,yc166,1,10MW PCS1-CDSP版本 2,0
4,2767,u16,16,yc167,1,10MW PCS1-CDSP版本 3,0
4,2768,u16,16,yc168,1,10MW PCS1-CDSP版本 4,0
4,2769,u16,16,yc169,1,10MW PCS1-CDSP版本 5,0
4,2770,u16,16,yc170,1,10MW PCS1-J1DSP版本字1,0
4,2771,u16,16,yc171,1,10MW PCS1-J1DSP版本字2,0
4,2772,u16,16,yc172,1,10MW PCS1-J1DSP版本字3,0
4,2773,u16,16,yc173,1,10MW PCS1-J1DSP版本字4,0
4,2774,u16,16,yc174,1,10MW PCS1-J1DSP版本字5,0
4,2775,u16,16,yc175,1,10MW PCS1-J1FPGA版本字1,0
4,2776,u16,16,yc176,1,10MW PCS1-J1FPGA版本字2,0
4,2777,u16,16,yc177,1,10MW PCS1-J1FPGA版本字3,0
4,2778,u16,16,yc178,1,10MW PCS1-J2DSP版本字1,0
4,2779,u16,16,yc179,1,10MW PCS1-J2DSP版本字2,0
4,2780,u16,16,yc180,1,10MW PCS1-J2DSP版本字3,0
4,2781,u16,16,yc181,1,10MW PCS1-J2DSP版本字4,0
4,2782,u16,16,yc182,1,10MW PCS1-J2DSP版本字5,0
4,2783,u16,16,yc183,1,10MW PCS1-J2FPGA版本字1,0
4,2784,u16,16,yc184,1,10MW PCS1-J2FPGA版本字2,0
4,2785,u16,16,yc185,1,10MW PCS1-J2FPGA版本字3,0
4,2786,u16,16,yc186,1,10MW PCS1-认证标准,0
4,2800,u16,16,yc187,1,10MW PCS1-系统故障字1 ①(Bit0 故障字1交流电压有效值过压;Bit1 故障字1电网频率过高;Bit2 故障字1电网频率过低;Bit3 故障字1电网电压不平衡;Bit4 故障字1电网电压瞬时过压;Bit5 故障字1交流电压有效值欠压;Bit6 故障字1防孤岛保护;Bit7 故障字1电压相位参数错误;Bit8 故障字1无功功率参数错误;Bit9 故障字1电压调节参数错误;Bit10 故障字1同步调节参数错误;Bit11 故障字1电网平均过压;Bit12 故障字1功率因数参数错误;Bit13 故障字1有功无功参数错误),0
4,2801,u16,16,yc188,1,10MW PCS1-系统故障字2 ①(Bit0 故障字2控制电源丢失;Bit1 故障字2通信电源丢失;Bit2 故障字2IO 电源丢失;Bit3 故障字2SDSP与FPGA 间EMIF总线错误;Bit4 故障字2紧急停机;Bit5 故障字2外部输入故障1;Bit6 故障字2控制器心跳丢失;Bit7 故障字2J1 DSP 心跳丢失;Bit8 故障字2J2 DSP 心跳丢失;Bit9 故障字2烟雾故障;Bit10 故障字2主从机1通信丢失;Bit12 故障字2外部输入故障2;Bit13 故障字2PCS与EMS通信丢失),0
4,2802,u16,16,yc189,1,10MW PCS1-系统故障字3 ①(Bit0 故障字3总零序过电流保护;Bit1 故障字3功率反馈偏差;Bit2 故障字3电网电压相序错误;Bit3 故障字3直流霍尔传感器断开;Bit5 故障字3ADC 校准错误;Bit6 故障字3控制检测到故障;Bit7 故障字3模块1 检测到故障;Bit8 故障字3模块2 检测到故障),0
4,2803,u16,16,yc190,1,10MW PCS1-系统故障字4 ①(Bit0 故障字4BMS输入干接点故障1;Bit1 故障字4BMS输入干接点故障2),0
4,2810,u16,16,yc191,1,10MW PCS1-系统警告字1 ①(Bit0 系统警告字1模块1 IP 地址错误;Bit1 系统警告字1模块2 IP 地址错误;Bit2 系统警告字1由于过温降额;Bit3 系统警告字1模块1 检测到警告;Bit4 系统警告字1模块2 检测到警告;Bit5 系统警告字13352 SPI 通信丢失;Bit6 系统警告字1从机1 故障;Bit8 系统警告字1从机1 警告;Bit10 系统警告字1EMS 心跳未变化;Bit11 系统警告字1Web 服务器通信丢失;Bit12 系统警告字1PCS 准备开启未满足;Bit13 系统警告字1RMU 检测到跳闸;Bit14 系统警告字1MVG3 断路器跳闸;Bit15 系统警告字1MVG3 断路器未存储能量),0
4,2811,u16,16,yc192,1,10MW PCS1-系统警告字2 ①(Bit0 系统告警字2BMS1输入报警;Bit1 系统告警字2BMS2输入报警;Bit4 系统告警字2MV 继电器 CT 开路;Bit5 系统告警字2MV RMU 环境过温;Bit6 系统告警字2MV RMU 热交换器报警;Bit7 系统告警字2变压器油温UTP降额报警;Bit8 系统告警字2变压器油温过高报警),0
4,2814,u16,16,yc193,1,10MW PCS1-控制器故障字1 ①(Bit0 SDSP心跳丢失;Bit1 J1 DSP心跳丢失;Bit2 J2 DSP心跳丢失;Bit5 主从1通信丢失),0
4,2815,u16,16,yc194,1,10MW PCS1-控制器故障字2 ①,0
4,2816,u16,16,yc195,1,10MW PCS1-控制器警告字1 ①(Bit0 控制警告字1Web 服务器丢失),0
4,2817,u16,16,yc196,1,10MW PCS1-控制器故障字1(Bit0 SDSP心跳丢失;Bit1 J1 DSP心跳丢失;Bit2 J2 DSP心跳丢失;Bit5 主从1通信丢失),0
4,2818,u16,16,yc197,1,10MW PCS1-控制器警告字1(Bit0 控制警告字1Web 服务器丢失),0
4,2830,u16,16,yc198,1,10MW PCS1-模块1 通信故障字1(Bit0 通信故障字1SDSP心跳丢失;Bit1 通信故障字1控制心跳丢失;Bit4 通信故障字1J板ID错误),0
4,2831,u16,16,yc199,1,10MW PCS1-模块1 警告字1(Bit0 模块警告字1总线1绝缘低;Bit1 模块警告字1总线2绝缘低;Bit2 模块警告字1湿度过高;Bit3 模块警告字1除湿机故障;Bit4 模块警告字1UPS电池电压低;Bit5 模块警告字1J板过温;Bit6 模块警告字1相R驱动线松动;Bit7 模块警告字1相S驱动线松动;Bit8 模块警告字1相T驱动线松动;Bit9 模块警告字1UPS交流电源丢失;Bit10 模块警告字1DC SPD;Bit11 模块警告字1辅助变压器SW馈电;Bit12 模块警告字1AC SPD;Bit13 模块警告字1辅助SPD;Bit14 模块警告字13352通信丢失;Bit15 模块警告字1IMD通信丢失),model=plugin|arg1=ModuleWarningWord1|arg2=emu1.PcsList[0]
