FunctionCode,Address,Type,Size,ParamName,Scale,Description,ModelSim
4,38000 + 200 * (n - 1) + 0,int16,16,bmsyc{38000 + 200 * (n - 1) + 0},10,BMS-系统总电压(系统总电压是启用电池簇的平均值;并且接触器已闭合),0
4,38000 + 200 * (n - 1) + 1,int32,32,bmsyc{38000 + 200 * (n - 1) + 1},10,BMS-系统总电流(充电电流为负值;放电电流为正值),0
4,38000 + 200 * (n - 1) + 3,u16,16,bmsyc{38000 + 200 * (n - 1) + 3},1000,BMS-系统SOC,0
4,38000 + 200 * (n - 1) + 4,u16,16,bmsyc{38000 + 200 * (n - 1) + 4},1000,BMS-系统SOH,0
4,38000 + 200 * (n - 1) + 5,u16,16,bmsyc{38000 + 200 * (n - 1) + 5},1,BMS-系统绝缘值,0
4,38000 + 200 * (n - 1) + 6,u16,16,bmsyc{38000 + 200 * (n - 1) + 6},1,BMS-系统可充电量,0
4,38000 + 200 * (n - 1) + 7,u16,16,bmsyc{38000 + 200 * (n - 1) + 7},1,BMS-系统可放电量,0
4,38000 + 200 * (n - 1) + 8,u16,16,bmsyc{38000 + 200 * (n - 1) + 8},10,BMS-系统允许最大充电电流,0
4,38000 + 200 * (n - 1) + 9,u16,16,bmsyc{38000 + 200 * (n - 1) + 9},10,BMS-系统允许最大放电电流,0
4,38000 + 200 * (n - 1) + 10,u16,16,bmsyc{38000 + 200 * (n - 1) + 10},10,BMS-簇间电流差异值(所有使能rack之间电流差异值),0
4,38000 + 200 * (n - 1) + 11,u16,16,bmsyc{38000 + 200 * (n - 1) + 11},10,BMS-簇间总压差异值(所有使能rack之间总压最高最低之间差异值),0
4,38000 + 200 * (n - 1) + 12,u16,16,bmsyc{38000 + 200 * (n - 1) + 12},1,BMS-系统最高电压电池所在Rack号(1～最大Rack数),0
4,38000 + 200 * (n - 1) + 13,u16,16,bmsyc{38000 + 200 * (n - 1) + 13},1,BMS-系统最高电压电池所在组(该电池所在的从控编号;1～最大从控编号),0
4,38000 + 200 * (n - 1) + 14,u16,16,bmsyc{38000 + 200 * (n - 1) + 14},1,BMS-系统最高电压电池所在位置(该电池在电池箱内的ID;1～从控电池串数),0
4,38000 + 200 * (n - 1) + 15,int16,16,bmsyc{38000 + 200 * (n - 1) + 15},1,BMS-系统最高电池电压,0
4,38000 + 200 * (n - 1) + 16,u16,16,bmsyc{38000 + 200 * (n - 1) + 16},1,BMS-系统最低电压电池所在Rack号(1～最大Rack数),0
4,38000 + 200 * (n - 1) + 17,u16,16,bmsyc{38000 + 200 * (n - 1) + 17},1,BMS-系统最低电压电池所在组(该电池所在的从控编号;1～最大从控编号),0
4,38000 + 200 * (n - 1) + 18,u16,16,bmsyc{38000 + 200 * (n - 1) + 18},1,BMS-系统最低电压电池所在位置(该电池在电池箱内的ID;1～从控电池串数),0
4,38000 + 200 * (n - 1) + 19,int16,16,bmsyc{38000 + 200 * (n - 1) + 19},1,BMS-系统最低电池电压,0
4,38000 + 200 * (n - 1) + 20,int16,16,bmsyc{38000 + 200 * (n - 1) + 20},1,BMS-系统平均电压(所有Rack的平均电压),0
4,38000 + 200 * (n - 1) + 21,u16,16,bmsyc{38000 + 200 * (n - 1) + 21},1,BMS-系统最高温度电池所在Rack号(1～最大Rack数),0
4,38000 + 200 * (n - 1) + 22,u16,16,bmsyc{38000 + 200 * (n - 1) + 22},1,BMS-系统最高温度电池所在组(该电池所在的从控编号;1～最大从控编号),0
4,38000 + 200 * (n - 1) + 23,u16,16,bmsyc{38000 + 200 * (n - 1) + 23},1,BMS-系统最高温度电池所在位置(该电池在电池箱内的ID;1～从控电池串数),0
4,38000 + 200 * (n - 1) + 24,int16,16,bmsyc{38000 + 200 * (n - 1) + 24},1,BMS-系统最高电池温度,0
4,38000 + 200 * (n - 1) + 25,u16,16,bmsyc{38000 + 200 * (n - 1) + 25},1,BMS-系统最低温度电池所在Rack号(1～最大Rack数),0
4,38000 + 200 * (n - 1) + 26,u16,16,bmsyc{38000 + 200 * (n - 1) + 26},1,BMS-系统最低温度电池所在组(该电池所在的从控编号;1～最大从控编号),0
4,38000 + 200 * (n - 1) + 27,u16,16,bmsyc{38000 + 200 * (n - 1) + 27},1,BMS-系统最低温度电池所在位置(该电池在电池箱内的ID;1～从控电池串数),0
4,38000 + 200 * (n - 1) + 28,int16,16,bmsyc{38000 + 200 * (n - 1) + 28},10,BMS-系统最低电池温度,0
4,38000 + 200 * (n - 1) + 29,int16,16,bmsyc{38000 + 200 * (n - 1) + 29},10,BMS-系统平均温度(所有Rack的平均温度),0
4,38000 + 200 * (n - 1) + 30,u16,16,bmsyc{38000 + 200 * (n - 1) + 30},1,BMS-累计充电电量高位,0
4,38000 + 200 * (n - 1) + 31,u16,16,bmsyc{38000 + 200 * (n - 1) + 31},1,BMS-累计充电电量低位,0
4,38000 + 200 * (n - 1) + 32,u16,16,bmsyc{38000 + 200 * (n - 1) + 32},1,BMS-累计放电电量高位,0
4,38000 + 200 * (n - 1) + 33,u16,16,bmsyc{38000 + 200 * (n - 1) + 33},1,BMS-累计放电电量低位,0
4,38000 + 200 * (n - 1) + 34,u16,16,bmsyc{38000 + 200 * (n - 1) + 34},1,BMS-当前在网簇数(接触器闭合的簇数),0
4,38000 + 200 * (n - 1) + 35,u16,16,bmsyc{38000 + 200 * (n - 1) + 35},1,BMS-堆内总簇数,0
4,38000 + 200 * (n - 1) + 36,u16,16,bmsyc{38000 + 200 * (n - 1) + 36},1,BMS-最小并机簇数(当前并机rack数低于最少并机rack数时;系统状态为待机;请求PCS停止充放电),0
4,38000 + 200 * (n - 1) + 37,u16,16,bmsyc{38000 + 200 * (n - 1) + 37},1,BMS-堆可用放电功率,0
4,38000 + 200 * (n - 1) + 38,u16,16,bmsyc{38000 + 200 * (n - 1) + 38},1,BMS-堆可用充电功率,0
4,38000 + 200 * (n - 1) + 39,u16,16,bmsyc{38000 + 200 * (n - 1) + 39},1,BMS-BMS系统故障汇总(Bit0 系统预警;Bit1 系统报警;Bit2 系统故障;Bit3 系统禁充;Bit4 系统禁放;Bit5 PCS控制故障;Bit6 充放电回路异常;详情见: BMS 状态&报警表),0
4,38000 + 200 * (n - 1) + 60,u16,16,bmsyc{38000 + 200 * (n - 1) + 60},1,BMS-黑启动模式(0: 未进入; 1: 成功),0
4,38000 + 200 * (n - 1) + 61,u16,16,bmsyc{38000 + 200 * (n - 1) + 61},1,BMS-黑启动状态(0: 确认EMS下发黑启动; 1: 屏蔽DI4-UPS供电断网; DI15消防故障; 液冷通讯故障; 2: 开始自动并网; 3: 执行成功; 4: 执行失败; 5: EMS关闭黑启动),0
4,38000 + 200 * (n - 1) + 62,u16,16,bmsyc{38000 + 200 * (n - 1) + 62},1,BMS-一键并网开关状态(0x0: 无操作; 0x1: 启动; 0x2: 成功; 0x3: 结束),0
4,38000 + 200 * (n - 1) + 71,u16,16,bmsyc{38000 + 200 * (n - 1) + 71},1,BMS-系统运行模式(0: 正常（系统可以放电; 可以充电）; 自检完成就绪; BMS转变状态为正常; 1: 禁充（系统可以放电; 不能充电）; 2: 禁放（系统可以充电; 不能放电）; 3: 待机（系统不能充放）; PCS需要待机处理; 4: 停机（系统不能充放）; 1级故障; 接触器跳开),0
4,38000 + 200 * (n - 1) + 72,u16,16,bmsyc{38000 + 200 * (n - 1) + 72},1,BMS-系统充放电状态(0x0: 静置; 0x1: 放电; 0x2: 充电),0
4,38000 + 200 * (n - 1) + 73,u16,16,bmsyc{38000 + 200 * (n - 1) + 73},1,BMS-BAU输出干接点状态(Bit0 干接点1输出状态(0x0: 常开; 0x1: 常闭);Bit1 干接点2输出状态;Bit2 干接点3输出状态;Bit3 干接点4输出状态;详情见: BMS 状态&报警表),0
4,38000 + 200 * (n - 1) + 74,u16,16,bmsyc{38000 + 200 * (n - 1) + 74},1,BMS-BMS心跳(BAU心跳指示; 0-255; 间隔1s累加),0
