FunctionCode,Address,Type,Size,ParamName,Scale,Description,ModelSim
4,17000 + 300 * (n - 1) + 200,u16,16,group_param{4 + 28*(n-1)},1,pcs1故障状态,0
4,17000 + 300 * (n - 1) + 201,u16,16,group_param{5 + 28*(n-1)},1,pcs2故障状态,0
4,17000 + 300 * (n - 1) + 202,u16,16,group_param{6 + 28*(n-1)},1,pcs3故障状态,0
4,17000 + 300 * (n - 1) + 203,u16,16,group_param{7 + 28*(n-1)},1,pcs4故障状态,0
4,17000 + 300 * (n - 1) + 204,u16,16,group_param{8 + 28*(n-1)},1,pcs1告警状态,0
4,17000 + 300 * (n - 1) + 205,u16,16,group_param{9 + 28*(n-1)},1,pcs2告警状态,0
4,17000 + 300 * (n - 1) + 206,u16,16,group_param{10 + 28*(n-1)},1,pcs3告警状态,0
4,17000 + 300 * (n - 1) + 207,u16,16,group_param{11 + 28*(n-1)},1,pcs4告警状态,0
4,17000 + 300 * (n - 1) + 208,u16,16,group_param{12 + 28*(n-1)},1,pcs1运行状态,0
4,17000 + 300 * (n - 1) + 209,u16,16,group_param{13 + 28*(n-1)},1,pcs2运行状态,0
4,17000 + 300 * (n - 1) + 210,u16,16,group_param{14 + 28*(n-1)},1,pcs3运行状态,0
4,17000 + 300 * (n - 1) + 211,u16,16,group_param{15 + 28*(n-1)},1,pcs4运行状态,0
4,17000 + 300 * (n - 1) + 212,u16,16,group_param{16 + 28*(n-1)},100,pcs1孤岛频率,50
4,17000 + 300 * (n - 1) + 213,u16,16,group_param{17 + 28*(n-1)},100,pcs2孤岛频率,50
4,17000 + 300 * (n - 1) + 214,u16,16,group_param{18 + 28*(n-1)},100,pcs3孤岛频率,50
4,17000 + 300 * (n - 1) + 215,u16,16,group_param{19 + 28*(n-1)},100,pcs4孤岛频率,50
4,17000 + 300 * (n - 1) + 216,u16,16,group_param{20 + 28*(n-1)},1,pcs1交流侧AB电压,0
4,17000 + 300 * (n - 1) + 217,u16,16,group_param{21 + 28*(n-1)},1,pcs1交流侧BC电压,0
4,17000 + 300 * (n - 1) + 218,u16,16,group_param{22 + 28*(n-1)},1,pcs1交流侧CA电压,0
4,17000 + 300 * (n - 1) + 219,u16,16,group_param{23 + 28*(n-1)},1,pcs2交流侧AB电压,0
4,17000 + 300 * (n - 1) + 220,u16,16,group_param{24 + 28*(n-1)},1,pcs2交流侧BC电压,0
4,17000 + 300 * (n - 1) + 221,u16,16,group_param{25 + 28*(n-1)},1,pcs2交流侧CA电压,0
4,17000 + 300 * (n - 1) + 222,u16,16,group_param{26 + 28*(n-1)},1,pcs3交流侧AB电压,0
4,17000 + 300 * (n - 1) + 223,u16,16,group_param{27 + 28*(n-1)},1,pcs3交流侧BC电压,0
4,17000 + 300 * (n - 1) + 224,u16,16,group_param{28 + 28*(n-1)},1,pcs3交流侧CA电压,0
4,17000 + 300 * (n - 1) + 225,u16,16,group_param{29 + 28*(n-1)},1,pcs4交流侧AB电压,0
4,17000 + 300 * (n - 1) + 226,u16,16,group_param{30 + 28*(n-1)},1,pcs4交流侧BC电压,0
4,17000 + 300 * (n - 1) + 227,u16,16,group_param{31 + 28*(n-1)},1,pcs4交流侧CA电压,0
4,17000 + 300 * (n - 1) + 228,int16,16,group_param{102 + 8*(n-1)},1,直流通道1有功功率,0
4,17000 + 300 * (n - 1) + 229,int16,16,group_param{103 + 8*(n-1)},1,直流通道2有功功率,0
4,17000 + 300 * (n - 1) + 230,int16,16,group_param{104 + 8*(n-1)},1,直流通道3有功功率,0
4,17000 + 300 * (n - 1) + 231,int16,16,group_param{105 + 8*(n-1)},1,直流通道4有功功率,0
4,17000 + 300 * (n - 1) + 232,int16,16,group_param{106 + 8*(n-1)},1,直流通道1无功功率,0
4,17000 + 300 * (n - 1) + 233,int16,16,group_param{107 + 8*(n-1)},1,直流通道2无功功率,0
4,17000 + 300 * (n - 1) + 234,int16,16,group_param{108 + 8*(n-1)},1,直流通道3无功功率,0
4,17000 + 300 * (n - 1) + 235,int16,16,group_param{109 + 8*(n-1)},1,直流通道4无功功率,0
16,27000 + 300 * (n - 1) + 200,u16,16,group_param{60 + 20*(n-1)},1,pcs1启停,0
16,27000 + 300 * (n - 1) + 201,u16,16,group_param{61 + 20*(n-1)},1,pcs2启停,0
16,27000 + 300 * (n - 1) + 202,u16,16,group_param{62 + 20*(n-1)},1,pcs3启停,0
16,27000 + 300 * (n - 1) + 203,u16,16,group_param{63 + 20*(n-1)},1,pcs4启停,0
16,27000 + 300 * (n - 1) + 204,int16,16,group_param{64 + 20*(n-1)},1,pcs1有功功率设置值,0
16,27000 + 300 * (n - 1) + 205,int16,16,group_param{65 + 20*(n-1)},1,pcs2有功功率设置值,0
16,27000 + 300 * (n - 1) + 206,int16,16,group_param{66 + 20*(n-1)},1,pcs3有功功率设置值,0
16,27000 + 300 * (n - 1) + 207,int16,16,group_param{67 + 20*(n-1)},1,pcs4有功功率设置值,0
16,27000 + 300 * (n - 1) + 208,int16,16,group_param{68 + 20*(n-1)},1,pcs1无功功率设置值,0
16,27000 + 300 * (n - 1) + 209,int16,16,group_param{69 + 20*(n-1)},1,pcs2无功功率设置值,0
16,27000 + 300 * (n - 1) + 210,int16,16,group_param{70 + 20*(n-1)},1,pcs3无功功率设置值,0
16,27000 + 300 * (n - 1) + 211,int16,16,group_param{71 + 20*(n-1)},1,pcs4无功功率设置值,0
16,27000 + 300 * (n - 1) + 212,u16,16,group_param{72 + 20*(n-1)},1,pcs1孤岛电压,0
16,27000 + 300 * (n - 1) + 213,u16,16,group_param{73 + 20*(n-1)},1,pcs2孤岛电压,0
16,27000 + 300 * (n - 1) + 214,u16,16,group_param{74 + 20*(n-1)},1,pcs3孤岛电压,0
16,27000 + 300 * (n - 1) + 215,u16,16,group_param{75 + 20*(n-1)},1,pcs4孤岛电压,0
16,27000 + 300 * (n - 1) + 216,u16,16,group_param{76 + 20*(n-1)},100,pcs1孤岛频率,0
16,27000 + 300 * (n - 1) + 217,u16,16,group_param{77 + 20*(n-1)},100,pcs2孤岛频率,0
16,27000 + 300 * (n - 1) + 218,u16,16,group_param{78 + 20*(n-1)},100,pcs3孤岛频率,0
16,27000 + 300 * (n - 1) + 219,u16,16,group_param{79 + 20*(n-1)},100,pcs4孤岛频率,0
