FunctionCode,Address,Type,Size,ParamName,Scale,Description,ModelSim
4,100,u32,32,sysyc100,10,SYSTEM-标称容量,0
4,102,u32,32,sysyc102,10,SYSTEM-标称电量,0
4,104,u16,16,sysyc104,1000,SYSTEM-系统 SOC,0
4,105,u16,16,sysyc105,1000,SYSTEM-系统 SOH,0
4,106,u16,16,sysyc106,1,SYSTEM-系统总状态（详细版）(0: 初始化; 1: 已经停机; 2: 已经在启动中; 3: 已经在运行中; 4: 待机; 5: 故障; 6：告警; 7：预警; 11: 已经在停止中; 13: PCS停机; 14: 子系统停机; 15: 子系统启动; 16: PCS启动; 20: 配置中; 21：启动PQ模式中; 22：PQ模式运行中; 23：关闭PQ模式; 24：关闭PQ模式中; 25：下发0功率; 27：一般故障停机),0
4,107,u16,16,sysyc107,1,SYSTEM-系统故障总(0: 正常;1: 故障),0
4,108,u16,16,sysyc108,1,SYSTEM-系统总状态（精简版）(1: 已经停机; 2: 已经在启动中; 3: 已经在运行中; 5: 故障; 6：告警; 7: 预警; 11: 已经在停止中; 20: 配置中),0
4,109,u32,32,sysyc109,10,SYSTEM-允许充电电量,0
4,111,u32,32,sysyc111,10,SYSTEM-允许放电电量,0
4,113,u32,32,sysyc113,10,SYSTEM-允许充电功率,0
4,115,u32,32,sysyc115,10,SYSTEM-允许放电功率,0
4,121,u16,16,sysyc121,1,SYSTEM-PCS状态汇总(0: 初始状态;1: 关闭，所有 PCS 关闭，无法启动;2: 待机，所有 PCS 待机;3: 运行，任一PCS在运行;4: 故障，任一PCS故障),0
4,122,int16,16,sysyc122,10000,SYSTEM-功率因数,0
4,123,int32,32,sysyc123,10,SYSTEM-视在功率,0
4,125,int32,32,sysyc125,10,SYSTEM-有功功率,0
4,127,int32,32,sysyc127,10,SYSTEM-无功功率,0
4,129,u32,32,sysyc129,100,SYSTEM-交流侧频率,0
4,131,int32,32,sysyc131,10,SYSTEM-直流侧功率,0
4,133,int32,32,sysyc133,10,SYSTEM-直流侧电流,0
4,135,u32,32,sysyc135,10,SYSTEM-直流侧平均电压,0
4,170,u16,16,sysyc170,1,SYSTEM-黑启动模式(0: 非电压源 / 1: 电压源; PCS 处于电压源模式。在黑启动模式下，PCS 必须与电网断开连接，并将建立一个交流电压。;注意:此寄存器专供给黑启动柜使用。),0
4,171,u16,16,sysyc171,1,SYSTEM-高压开关状态(AA:动作;EE: 复归;注意:此寄存器专供给黑启动柜使用。),0
4,200,u16,16,sysyc200,1,SYSTEM-PCS数量,0
4,201,u16,16,sysyc201,1,SYSTEM-运行PCS数量,0
4,202,u16,16,sysyc202,1,SYSTEM-告警PCS数量,0
4,203,u16,16,sysyc203,1,SYSTEM-故障PCS数量,0
4,204,u16,16,sysyc204,1,SYSTEM-BMS数量,0
4,205,u16,16,sysyc205,1,SYSTEM-运行BMS数量,0
4,206,u16,16,sysyc206,1,SYSTEM-告警BMS数量,0
4,207,u16,16,sysyc207,1,SYSTEM-故障BMS数量,0
