FunctionCode,Address,Type,Size,ParamName,Scale,Description,ModelSim
4,2600 + 300 * (n - 1) + 0,int16,16,unit_param{0 + 600*(n-1)},1,模块1电池电压,0
4,2600 + 300 * (n - 1) + 1,int16,16,unit_param{1 + 600*(n-1)},1,模块1电池电流,0
4,2600 + 300 * (n - 1) + 2,int16,16,unit_param{2 + 600*(n-1)},1,模块1母线电压,0
4,2600 + 300 * (n - 1) + 3,u16,16,unit_param{3 + 600*(n-1)},1,模块1电感电流 R,0
4,2600 + 300 * (n - 1) + 4,u16,16,unit_param{4 + 600*(n-1)},1,模块1电感电流 S,0
4,2600 + 300 * (n - 1) + 5,u16,16,unit_param{5 + 600*(n-1)},1,模块1电感电流 T,0
4,2600 + 300 * (n - 1) + 6,int16,16,unit_param{6 + 600*(n-1)},1,模块2电池电压,0
4,2600 + 300 * (n - 1) + 7,int16,16,unit_param{7 + 600*(n-1)},1,模块2电池电流,0
4,2600 + 300 * (n - 1) + 8,int16,16,unit_param{8 + 600*(n-1)},1,模块2母线电压,0
4,2600 + 300 * (n - 1) + 9,u16,16,unit_param{9 + 600*(n-1)},1,模块2电感电流 R,0
4,2600 + 300 * (n - 1) + 10,u16,16,unit_param{10 + 600*(n-1)},1,模块2电感电流 S,0
4,2600 + 300 * (n - 1) + 11,u16,16,unit_param{11 + 600*(n-1)},1,模块2电感电流 T,0
4,2600 + 300 * (n - 1) + 12,u16,16,unit_param{12 + 600*(n-1)},1,交流电流 R,0
4,2600 + 300 * (n - 1) + 13,u16,16,unit_param{13 + 600*(n-1)},1,交流电流 S,0
4,2600 + 300 * (n - 1) + 14,u16,16,unit_param{14 + 600*(n-1)},1,交流电流 T,0
4,2600 + 300 * (n - 1) + 15,int16,16,unit_param{15 + 600*(n-1)},1,电池总功率,0
4,2600 + 300 * (n - 1) + 16,int16,16,unit_param{16 + 600*(n-1)},1,电池1 功率,0
4,2600 + 300 * (n - 1) + 17,int16,16,unit_param{17 + 600*(n-1)},1,电池2 功率,0
4,2600 + 300 * (n - 1) + 18,int16,16,unit_param{18 + 600*(n-1)},1,电网有功功率,0
4,2600 + 300 * (n - 1) + 19,int16,16,unit_param{19 + 600*(n-1)},1,电网无功功率,0
4,2600 + 300 * (n - 1) + 20,u16,16,unit_param{20 + 600*(n-1)},1,电网电压 RS,0
4,2600 + 300 * (n - 1) + 21,u16,16,unit_param{21 + 600*(n-1)},1,电网电压 ST,0
4,2600 + 300 * (n - 1) + 22,u16,16,unit_param{22 + 600*(n-1)},1,电网电压 TR,0
4,2600 + 300 * (n - 1) + 23,int16,16,unit_param{23 + 600*(n-1)},10,过温降载NTC,0
4,2600 + 300 * (n - 1) + 24,u16,16,unit_param{24 + 600*(n-1)},1,可用容量,0
4,2600 + 300 * (n - 1) + 25,u16,16,unit_param{25 + 600*(n-1)},1,额定容量,0
4,2600 + 300 * (n - 1) + 231,u16,16,unit_param{231 + 600*(n-1)},1,模块1 警告字1(Bit0 模块警告字1总线1绝缘低;Bit1 模块警告字1总线2绝缘低;Bit2 模块警告字1湿度过高;Bit3 模块警告字1除湿机故障;Bit4 模块警告字1UPS电池电压低;Bit5 模块警告字1J板过温;Bit6 模块警告字1相R驱动线松动;Bit7 模块警告字1相S驱动线松动;Bit8 模块警告字1相T驱动线松动;Bit9 模块警告字1UPS交流电源丢失;Bit10 模块警告字1DC SPD;Bit11 模块警告字1辅助变压器SW馈电;Bit12 模块警告字1AC SPD;Bit13 模块警告字1辅助SPD;Bit14 模块警告字13352通信丢失;Bit15 模块警告字1IMD通信丢失),0
4,2600 + 300 * (n - 1) + 232,u16,16,unit_param{232 + 600*(n-1)},1,模块1 警告字2(Bit0 模块警告字2CBC警告R;Bit1 模块警告字2CBC警告S;Bit2 模块警告字2CBC警告T;Bit3 模块警告字2电池欠压保护;Bit4 模块警告字2外部风扇欠流保护),0
4,2600 + 300 * (n - 1) + 245,u16,16,unit_param{245 + 600*(n-1)},1,模块2 警告字1(Bit0 模块警告字1总线1绝缘低;Bit1 模块警告字1总线2绝缘低;Bit2 模块警告字1湿度过高;Bit3 模块警告字1除湿机故障;Bit4 模块警告字1UPS电池电压低;Bit5 模块警告字1J板过温;Bit6 模块警告字1相R驱动线松动;Bit7 模块警告字1相S驱动线松动;Bit8 模块警告字1相T驱动线松动;Bit9 模块警告字1UPS交流电源丢失;Bit10 模块警告字1DC SPD;Bit11 模块警告字1辅助变压器SW馈电;Bit12 模块警告字1AC SPD;Bit13 模块警告字1辅助SPD;Bit14 模块警告字13352通信丢失;Bit15 模块警告字1IMD通信丢失),0
4,2600 + 300 * (n - 1) + 246,u16,16,unit_param{246 + 600*(n-1)},1,模块2 警告字2(Bit0 模块警告字2CBC警告R;Bit1 模块警告字2CBC警告S;Bit2 模块警告字2CBC警告T;Bit3 模块警告字2电池欠压保护;Bit4 模块警告字2外部风扇欠流保护),0
