FunctionCode,Address,Type,Size,ParamName,Scale,Description,ModelSim
4,4097,float,32,yc0,1,"A相电压(V)(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.PhaseAVoltage|arg2=|arg3=|arg4=1000
4,4099,float,32,yc1,1,"B相电压(V)(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.PhaseBVoltage|arg2=|arg3=|arg4=1000
4,4101,float,32,yc2,1,"C相电压(V)(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.PhaseCVoltage|arg2=|arg3=|arg4=1000
4,4103,float,32,yc3,1,"AB线电压(V)(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.LineVoltageAb|arg2=|arg3=|arg4=1000
4,4105,float,32,yc4,1,"BC线电压(V)(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.LineVoltageBc|arg2=|arg3=|arg4=1000
4,4107,float,32,yc5,1,"CA线电压(V)(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.LineVoltageCa|arg2=|arg3=|arg4=1000
4,4109,float,32,yc6,1,"A相电流(A)(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.PhaseACurrent|arg2=|arg3=|arg4=1000
4,4111,float,32,yc7,1,"B相电流(A)(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.PhaseBCurrent|arg2=|arg3=|arg4=1000
4,4113,float,32,yc8,1,"C相电流(A)(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.PhaseCCurrent|arg2=|arg3=|arg4=1000
4,4115,float,32,yc9,1,"A相有功功率(W)(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.PhaseAActivePowerW|arg2=|arg3=|arg4=1000
4,4117,float,32,yc10,1,"B相有功功率(W)(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.PhaseBActivePowerW|arg2=|arg3=|arg4=1000
4,4119,float,32,yc11,1,"C相有功功率(W)(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.PhaseCActivePowerW|arg2=|arg3=|arg4=1000
4,4121,float,32,yc12,1,"总有功功率(W)(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.TotalActivePowerW|arg2=|arg3=|arg4=1000
4,4123,float,32,yc13,1,"网关电表馈网/反向有功功率M1(W)(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.FeedInPowerM1W|arg2=|arg3=|arg4=1000
4,4125,float,32,yc14,1,"A相无功功率(Var)(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.PhaseAReactivePowerVar|arg2=|arg3=|arg4=1000
4,4127,float,32,yc15,1,"B相无功功率(Var)(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.PhaseBReactivePowerVar|arg2=|arg3=|arg4=1000
4,4129,float,32,yc16,1,"C相无功功率(Var)(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.PhaseCReactivePowerVar|arg2=|arg3=|arg4=1000
4,4131,float,32,yc17,1,"总无功功率(Var)(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.TotalReactivePowerVar|arg2=|arg3=|arg4=1000
4,4133,float,32,yc18,1,"A相视在功率(VA)(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.PhaseAApparentPowerVa|arg2=|arg3=|arg4=1000
4,4135,float,32,yc19,1,"B相视在功率(VA)(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.PhaseBApparentPowerVa|arg2=|arg3=|arg4=1000
4,4137,float,32,yc20,1,"C相视在功率(VA)(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.PhaseCApparentPowerVa|arg2=|arg3=|arg4=1000
4,4139,float,32,yc21,1,"总视在功率(VA)(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.TotalApparentPowerVa|arg2=|arg3=|arg4=1000
4,4141,float,32,yc22,1,"总功率因数(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.TotalPowerFactor|arg2=|arg3=|arg4=1000
4,4143,float,32,yc23,1,"电网频率(Hz)(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.FrequencyHz|arg2=|arg3=|arg4=1000
4,4145,float,32,yc24,1,"总正向有功电能(kWh)(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.ForwardActiveEnergyKwh|arg2=|arg3=|arg4=1000
4,4147,float,32,yc25,1,"总反向有功电能(kWh)(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.ReverseActiveEnergyKwh|arg2=|arg3=|arg4=1000
4,4149,float,32,yc26,1,"总正向无功电能(kVarh)(APM810 Device ID 3/4, FC 0x04)",model=4|arg1=pvDeviceId.MeterLv.ForwardReactiveEnergyKvarh|arg2=|arg3=|arg4=1000
