FunctionCode,Address,Type,Size,ParamName,Scale,Description,ModelSim
4,8021,u32,32,yc0,1,Logger数字输入DIN位图(低16位有效 Device ID 247): Bit1:低压开关室门禁状态(1:关门 0:开门) Din1; Bit2:低压开关室烟雾报警(1:正常 0:报警) Din2; Bit3:低压配电柜QFA/QSA开关状态(1:合闸 0:分闸) Din3; Bit4:低压配电柜SPD1防雷故障(1:正常 0:故障) Din4; Bit5:DIN5 预留 Din5; Bit6:瓦斯报警(1:报警 0:正常) Din6; Bit7:瓦斯跳闸(1:跳闸 0:正常) Din7; Bit8:油温报警(1:报警 0:正常) Din8; Bit9:油温跳闸(1:跳闸 0:正常) Din9; Bit10:油位跳闸(1:跳闸 0:正常) Din10; Bit11:压力释放跳闸(1:跳闸 0:正常) Din11; Bit12:绕组温度报警(1:报警 0:正常) Din12; Bit13:绕组温度跳闸(1:跳闸 0:正常) Din13; Bit14:环网柜室烟雾报警(1:正常 0:报警) Din14; Bit15:环网柜室门禁状态(1:关门 0:开门) Din15; Bit16:辅助变压器室门禁状态(1:关门 0:开门) Din16,model=4|arg1=pvDeviceId.Logger.DigitalInputBitmap|arg2=|arg3=|arg4=1000
4,8021,bool,1,yx0,1,Logger DIN Bit1: 低压开关室门禁状态(1:关门 0:开门) Din1,0
4,8021,bool,1,yx1,1,Logger DIN Bit2: 低压开关室烟雾报警(1:正常 0:报警) Din2,0
4,8021,bool,1,yx2,1,Logger DIN Bit3: 低压配电柜QFA/QSA开关状态(1:合闸 0:分闸) Din3,0
4,8021,bool,1,yx3,1,Logger DIN Bit4: 低压配电柜SPD1防雷故障(1:正常 0:故障) Din4,0
4,8021,bool,1,yx4,1,Logger DIN Bit5: DIN5 预留 Din5,0
4,8021,bool,1,yx5,1,Logger DIN Bit6: 瓦斯报警(1:报警 0:正常) Din6,0
4,8021,bool,1,yx6,1,Logger DIN Bit7: 瓦斯跳闸(1:跳闸 0:正常) Din7,0
4,8021,bool,1,yx7,1,Logger DIN Bit8: 油温报警(1:报警 0:正常) Din8,model=4|arg1=pvDeviceId.Logger.OilTemperatureAlarm|arg2=|arg3=|arg4=1000
4,8021,bool,1,yx8,1,Logger DIN Bit9: 油温跳闸(1:跳闸 0:正常) Din9,model=4|arg1=pvDeviceId.Logger.OilTemperatureTrip|arg2=|arg3=|arg4=1000
4,8021,bool,1,yx9,1,Logger DIN Bit10: 油位跳闸(1:跳闸 0:正常) Din10,0
4,8021,bool,1,yx10,1,Logger DIN Bit11: 压力释放跳闸(1:跳闸 0:正常) Din11,0
4,8021,bool,1,yx11,1,Logger DIN Bit12: 绕组温度报警(1:报警 0:正常) Din12,model=4|arg1=pvDeviceId.Logger.WindingTemperatureAlarm|arg2=|arg3=|arg4=1000
4,8021,bool,1,yx12,1,Logger DIN Bit13: 绕组温度跳闸(1:跳闸 0:正常) Din13,model=4|arg1=pvDeviceId.Logger.WindingTemperatureTrip|arg2=|arg3=|arg4=1000
4,8021,bool,1,yx13,1,Logger DIN Bit14: 环网柜室烟雾报警(1:正常 0:报警) Din14,0
4,8021,bool,1,yx14,1,Logger DIN Bit15: 环网柜室门禁状态(1:关门 0:开门) Din15,0
4,8021,bool,1,yx15,1,Logger DIN Bit16: 辅助变压器室门禁状态(1:关门 0:开门) Din16,0
